lat,lon,nearest_station_name
41.5,-118.5,Victoria
41.5,-118.0,Victoria
41.5,-117.5,Victoria
41.5,-117.0,Victoria
41.5,-116.5,Victoria
41.5,-116.0,Victoria
41.5,-115.5,Kelowna
41.5,-115.0,Kelowna
41.5,-114.5,Kelowna
41.5,-114.0,Kelowna
41.5,-113.5,Kelowna
41.5,-113.0,Kelowna
41.5,-112.5,Calgary
41.5,-112.0,Calgary
41.5,-111.5,Calgary
41.5,-111.0,Calgary
41.5,-110.5,Regina
41.5,-110.0,Regina
41.5,-109.5,Regina
41.5,-109.0,Regina
41.5,-108.5,Regina
41.5,-108.0,Regina
41.5,-107.5,Regina
41.5,-107.0,Regina
41.5,-106.5,Regina
41.5,-106.0,Regina
41.5,-105.5,Regina
41.5,-105.0,Regina
41.5,-104.5,Regina
41.5,-104.0,Regina
41.5,-103.5,Regina
41.5,-103.0,Regina
41.5,-102.5,Regina
41.5,-102.0,Winnipeg
41.5,-101.5,Winnipeg
41.5,-101.0,Winnipeg
41.5,-100.5,Winnipeg
41.5,-100.0,Winnipeg
41.5,-99.5,Winnipeg
41.5,-99.0,Winnipeg
41.5,-98.5,Winnipeg
41.5,-98.0,Winnipeg
41.5,-97.5,Winnipeg
41.5,-97.0,Winnipeg
41.5,-96.5,Winnipeg
41.5,-96.0,Thunder Bay
41.5,-95.5,Thunder Bay
41.5,-95.0,Thunder Bay
41.5,-94.5,Thunder Bay
41.5,-94.0,Thunder Bay
41.5,-93.5,Thunder Bay
41.5,-93.0,Thunder Bay
41.5,-92.5,Thunder Bay
41.5,-92.0,Thunder Bay
41.5,-91.5,Thunder Bay
41.5,-91.0,Thunder Bay
41.5,-90.5,Thunder Bay
41.5,-90.0,Thunder Bay
41.5,-89.5,Thunder Bay
41.5,-89.0,Thunder Bay
41.5,-88.5,Thunder Bay
41.5,-88.0,Toronto
41.5,-87.5,Toronto
41.5,-87.0,Toronto
41.5,-86.5,Toronto
41.5,-86.0,Toronto
41.5,-85.5,Toronto
41.5,-85.0,Toronto
41.5,-84.5,Toronto
41.5,-84.0,Toronto
41.5,-83.5,Toronto
41.5,-83.0,Toronto
41.5,-82.5,Toronto
41.5,-82.0,Toronto
41.5,-81.5,Toronto
41.5,-81.0,Toronto
41.5,-80.5,Toronto
41.5,-80.0,Toronto
41.5,-79.5,Toronto
41.5,-79.0,Toronto
41.5,-78.5,Toronto
41.5,-78.0,Toronto
41.5,-77.5,Toronto
41.5,-77.0,Toronto
41.5,-76.5,Toronto
41.5,-76.0,Toronto
