cell_id,lat,lon
46.0000_-77.5000,46.0,-77.5
46.0000_-78.0000,46.0,-78.0
46.0000_-78.5000,46.0,-78.5
46.0000_-79.0000,46.0,-79.0
46.0000_-79.5000,46.0,-79.5
46.0000_-80.0000,46.0,-80.0
46.0000_-80.5000,46.0,-80.5
46.0000_-81.0000,46.0,-81.0
46.0000_-81.5000,46.0,-81.5
46.0000_-82.0000,46.0,-82.0
46.0000_-82.5000,46.0,-82.5
46.0000_-83.0000,46.0,-83.0
46.0000_-83.5000,46.0,-83.5
46.0000_-84.0000,46.0,-84.0
46.5000_-60.5000,46.5,-60.5
46.5000_-61.0000,46.5,-61.0
46.5000_-62.0000,46.5,-62.0
46.5000_-62.5000,46.5,-62.5
46.5000_-63.0000,46.5,-63.0
46.5000_-63.5000,46.5,-63.5
46.5000_-64.0000,46.5,-64.0
46.5000_-65.0000,46.5,-65.0
46.5000_-65.5000,46.5,-65.5
46.5000_-66.0000,46.5,-66.0
46.5000_-66.5000,46.5,-66.5
46.5000_-67.0000,46.5,-67.0
46.5000_-67.5000,46.5,-67.5
46.5000_-70.0000,46.5,-70.0
46.5000_-70.5000,46.5,-70.5
46.5000_-71.0000,46.5,-71.0
46.5000_-71.5000,46.5,-71.5
46.5000_-72.0000,46.5,-72.0
46.5000_-72.5000,46.5,-72.5
46.5000_-73.0000,46.5,-73.0
46.5000_-73.5000,46.5,-73.5
46.5000_-74.0000,46.5,-74.0
46.5000_-74.5000,46.5,-74.5
46.5000_-75.0000,46.5,-75.0
46.5000_-75.5000,46.5,-75.5
46.5000_-76.0000,46.5,-76.0
46.5000_-76.5000,46.5,-76.5
46.5000_-77.0000,46.5,-77.0
46.5000_-77.5000,46.5,-77.5
46.5000_-78.0000,46.5,-78.0
46.5000_-78.5000,46.5,-78.5
46.5000_-79.0000,46.5,-79.0
46.5000_-79.5000,46.5,-79.5
46.5000_-80.0000,46.5,-80.0
46.5000_-80.5000,46.5,-80.5
46.5000_-81.0000,46.5,-81.0
46.5000_-81.5000,46.5,-81.5
46.5000_-82.0000,46.5,-82.0
46.5000_-82.5000,46.5,-82.5
46.5000_-83.0000,46.5,-83.0
46.5000_-83.5000,46.5,-83.5
46.5000_-84.0000,46.5,-84.0
46.5000_-84.5000,46.5,-84.5
47.0000_-53.0000,47.0,-53.0
47.0000_-53.5000,47.0,-53.5
47.0000_-54.0000,47.0,-54.0
47.0000_-55.0000,47.0,-55.0
47.0000_-55.5000,47.0,-55.5
47.0000_-56.0000,47.0,-56.0
47.0000_-60.5000,47.0,-60.5
47.0000_-64.0000,47.0,-64.0
47.0000_-65.0000,47.0,-65.0
47.0000_-65.5000,47.0,-65.5
47.0000_-66.0000,47.0,-66.0
47.0000_-66.5000,47.0,-66.5
47.0000_-67.0000,47.0,-67.0
47.0000_-67.5000,47.0,-67.5
47.0000_-70.0000,47.0,-70.0
47.0000_-70.5000,47.0,-70.5
47.0000_-71.0000,47.0,-71.0
47.0000_-71.5000,47.0,-71.5
47.0000_-72.0000,47.0,-72.0
47.0000_-72.5000,47.0,-72.5
47.0000_-73.0000,47.0,-73.0
47.0000_-73.5000,47.0,-73.5
47.0000_-74.0000,47.0,-74.0
47.0000_-74.5000,47.0,-74.5
47.0000_-75.0000,47.0,-75.0
47.0000_-75.5000,47.0,-75.5
47.0000_-76.0000,47.0,-76.0
47.0000_-76.5000,47.0,-76.5
47.0000_-77.0000,47.0,-77.0
47.0000_-77.5000,47.0,-77.5
47.0000_-78.0000,47.0,-78.0
47.0000_-78.5000,47.0,-78.5
47.0000_-79.0000,47.0,-79.0
47.0000_-79.5000,47.0,-79.5
47.0000_-80.0000,47.0,-80.0
47.0000_-80.5000,47.0,-80.5
47.0000_-81.0000,47.0,-81.0
47.0000_-81.5000,47.0,-81.5
47.0000_-82.0000,47.0,-82.0
47.0000_-82.5000,47.0,-82.5
47.0000_-83.0000,47.0,-83.0
47.0000_-83.5000,47.0,-83.5
47.0000_-84.0000,47.0,-84.0
47.0000_-84.5000,47.0,-84.5
47.0000_-85.0000,47.0,-85.0
47.5000_-52.5000,47.5,-52.5
47.5000_-53.0000,47.5,-53.0
47.5000_-53.5000,47.5,-53.5
47.5000_-54.0000,47.5,-54.0
47.5000_-54.5000,47.5,-54.5
47.5000_-55.0000,47.5,-55.0
47.5000_-55.5000,47.5,-55.5
47.5000_-56.0000,47.5,-56.0
47.5000_-57.0000,47.5,-57.0
47.5000_-59.0000,47.5,-59.0
47.5000_-61.5000,47.5,-61.5
47.5000_-65.0000,47.5,-65.0
47.5000_-65.5000,47.5,-65.5
47.5000_-66.0000,47.5,-66.0
47.5000_-66.5000,47.5,-66.5
47.5000_-67.0000,47.5,-67.0
47.5000_-67.5000,47.5,-67.5
47.5000_-68.0000,47.5,-68.0
47.5000_-68.5000,47.5,-68.5
47.5000_-69.0000,47.5,-69.0
47.5000_-69.5000,47.5,-69.5
47.5000_-70.0000,47.5,-70.0
47.5000_-70.5000,47.5,-70.5
47.5000_-71.0000,47.5,-71.0
47.5000_-71.5000,47.5,-71.5
47.5000_-72.0000,47.5,-72.0
47.5000_-72.5000,47.5,-72.5
47.5000_-73.0000,47.5,-73.0
47.5000_-73.5000,47.5,-73.5
47.5000_-74.0000,47.5,-74.0
47.5000_-74.5000,47.5,-74.5
47.5000_-75.0000,47.5,-75.0
47.5000_-75.5000,47.5,-75.5
47.5000_-76.0000,47.5,-76.0
47.5000_-76.5000,47.5,-76.5
47.5000_-77.0000,47.5,-77.0
47.5000_-77.5000,47.5,-77.5
47.5000_-78.0000,47.5,-78.0
47.5000_-78.5000,47.5,-78.5
47.5000_-79.0000,47.5,-79.0
47.5000_-79.5000,47.5,-79.5
47.5000_-80.0000,47.5,-80.0
47.5000_-80.5000,47.5,-80.5
47.5000_-81.0000,47.5,-81.0
47.5000_-81.5000,47.5,-81.5
47.5000_-82.0000,47.5,-82.0
47.5000_-82.5000,47.5,-82.5
47.5000_-83.0000,47.5,-83.0
47.5000_-83.5000,47.5,-83.5
47.5000_-84.0000,47.5,-84.0
47.5000_-84.5000,47.5,-84.5
47.5000_-85.0000,47.5,-85.0
47.5000_-85.5000,47.5,-85.5
47.5000_-86.0000,47.5,-86.0
47.5000_-86.5000,47.5,-86.5
48.0000_-53.0000,48.0,-53.0
48.0000_-53.5000,48.0,-53.5
48.0000_-54.0000,48.0,-54.0
48.0000_-54.5000,48.0,-54.5
48.0000_-55.0000,48.0,-55.0
48.0000_-55.5000,48.0,-55.5
48.0000_-56.0000,48.0,-56.0
48.0000_-56.5000,48.0,-56.5
48.0000_-57.0000,48.0,-57.0
48.0000_-57.5000,48.0,-57.5
48.0000_-58.0000,48.0,-58.0
48.0000_-58.5000,48.0,-58.5
48.0000_-59.0000,48.0,-59.0
48.0000_-64.5000,48.0,-64.5
48.0000_-65.5000,48.0,-65.5
48.0000_-66.0000,48.0,-66.0
48.0000_-66.5000,48.0,-66.5
48.0000_-67.0000,48.0,-67.0
48.0000_-67.5000,48.0,-67.5
48.0000_-68.0000,48.0,-68.0
48.0000_-68.5000,48.0,-68.5
48.0000_-69.0000,48.0,-69.0
48.0000_-69.5000,48.0,-69.5
48.0000_-70.0000,48.0,-70.0
48.0000_-70.5000,48.0,-70.5
48.0000_-71.0000,48.0,-71.0
48.0000_-71.5000,48.0,-71.5
48.0000_-72.0000,48.0,-72.0
