lat,lon,date,nearest_station,temperature,humidity,wind_speed,pressure,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm
41.0,-141.0,2026-08-13 00:00:00,Victoria,20.56,89.13,5.0,1023.1,0.72,0.0,0.0,0.0
41.0,-140.5,2026-08-13 00:00:00,Victoria,20.57,87.65,4.63,1023.3,0.88,0.0,0.0,0.0
41.0,-140.0,2026-08-13 00:00:00,Victoria,20.55,86.03,4.33,1023.5,1.05,0.0,0.0,0.0
41.0,-139.5,2026-08-13 00:00:00,Victoria,20.45,84.81,3.76,1023.7,0.99,0.0,0.0,0.0
41.0,-139.0,2026-08-13 00:00:00,Victoria,20.32,84.65,3.43,1023.8,0.98,0.0,0.0,0.0
41.0,-138.0,2026-08-13 00:00:00,Victoria,20.09,86.74,3.32,1023.8,0.79,0.0,0.0,0.0
41.0,-137.5,2026-08-13 00:00:00,Victoria,19.89,88.68,3.25,1023.8,0.68,0.0,0.0,0.0
41.0,-137.0,2026-08-13 00:00:00,Victoria,19.71,89.6,3.22,1023.7,0.53,0.0,0.0,0.0
41.0,-136.0,2026-08-13 00:00:00,Victoria,19.49,91.25,3.38,1023.5,0.3,0.0,0.0,0.0
41.0,-135.5,2026-08-13 00:00:00,Victoria,19.21,92.9,3.79,1023.3,0.27,0.0,0.0,0.0
41.0,-135.0,2026-08-13 00:00:00,Victoria,18.97,94.02,4.47,1023.0,0.35,0.0,0.0,0.0
41.0,-134.5,2026-08-13 00:00:00,Victoria,18.83,93.63,5.23,1022.6999999999999,0.65,0.0,0.0,0.0
41.0,-134.0,2026-08-13 00:00:00,Victoria,18.56,93.01,5.55,1022.3000000000001,0.93,0.0,0.0,0.0
41.0,-133.0,2026-08-13 00:00:00,Victoria,18.15,91.42,5.74,1022.0,0.69,0.0,0.0,0.0
41.0,-132.5,2026-08-13 00:00:00,Victoria,17.87,87.1,6.35,1021.5999999999999,0.22,0.0,0.0,0.0
41.0,-132.0,2026-08-13 00:00:00,Victoria,17.72,85.18,7.02,1021.1,0.0,0.0,0.0,0.0
41.0,-131.0,2026-08-13 00:00:00,Victoria,17.61,84.99,7.44,1020.5,0.03,0.0,0.0,0.0
41.0,-130.5,2026-08-13 00:00:00,Victoria,17.59,84.62,7.9,1019.9,0.2,0.0,0.0,0.0
41.0,-130.0,2026-08-13 00:00:00,Victoria,17.58,84.94,8.27,1019.3000000000001,0.31,0.0,0.0,0.0
41.0,-129.5,2026-08-13 00:00:00,Victoria,17.5,85.25,8.54,1018.6,0.29,0.0,0.0,0.0
41.0,-129.0,2026-08-13 00:00:00,Victoria,17.3,86.2,8.7,1017.9000000000001,0.2,0.0,0.0,0.0
41.0,-128.0,2026-08-13 00:00:00,Victoria,16.9,88.43,8.82,1017.0999999999999,0.11,0.0,0.0,0.0
41.0,-127.5,2026-08-13 00:00:00,Victoria,16.74,88.89,9.57,1016.3,0.12,0.0,0.0,0.0
41.0,-127.0,2026-08-13 00:00:00,Victoria,16.39,89.87,9.93,1015.4000000000001,0.43,0.0,0.0,0.0
41.0,-126.0,2026-08-13 00:00:00,Victoria,15.76,91.9,10.08,1014.4,0.33,0.0,0.0,0.0
41.0,-125.5,2026-08-13 00:00:00,Victoria,15.02,93.78,10.43,1013.1999999999999,0.18,0.0,0.0,0.0
41.0,-125.0,2026-08-13 00:00:00,Victoria,13.8,96.66,10.28,1012.5,0.48,0.0,0.0,0.0
41.0,-124.5,2026-08-13 00:00:00,Victoria,13.18,95.01,4.29,1002.4,0.73,0.0,0.0,0.0
