lat,lon,date,nearest_station,temperature,humidity,wind_speed,pressure,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm
41.0,-141.0,2026-08-18 00:00:00,Victoria,19.43,80.19,4.99,1027.5,1.45,0.0,0.0,0.0
41.0,-140.5,2026-08-18 00:00:00,Victoria,19.38,79.57,4.76,1027.5,0.89,0.0,0.0,0.0
41.0,-140.0,2026-08-18 00:00:00,Victoria,19.41,78.34,4.46,1027.3999999999999,0.62,0.0,0.0,0.0
41.0,-139.5,2026-08-18 00:00:00,Victoria,19.56,76.17,4.3,1027.3,0.44,0.0,0.0,0.0
41.0,-139.0,2026-08-18 00:00:00,Victoria,19.54,76.69,4.23,1027.3,0.34,0.0,0.0,0.0
41.0,-138.0,2026-08-18 00:00:00,Victoria,19.47,77.45,4.24,1027.2,0.46,0.0,0.0,0.0
41.0,-137.5,2026-08-18 00:00:00,Victoria,19.42,78.13,4.25,1027.1,0.55,0.0,0.0,0.0
41.0,-137.0,2026-08-18 00:00:00,Victoria,19.33,78.7,4.29,1027.1,0.39,0.0,0.0,0.0
41.0,-136.0,2026-08-18 00:00:00,Victoria,19.31,78.24,4.32,1027.0,0.64,0.0,0.0,0.0
41.0,-135.5,2026-08-18 00:00:00,Victoria,19.16,78.41,4.29,1027.0,0.71,0.0,0.0,0.0
41.0,-135.0,2026-08-18 00:00:00,Victoria,18.98,78.79,4.2,1026.9,0.54,0.0,0.0,0.0
41.0,-134.5,2026-08-18 00:00:00,Victoria,18.74,80.02,4.13,1026.8000000000002,0.39,0.0,0.0,0.0
41.0,-134.0,2026-08-18 00:00:00,Victoria,18.49,81.64,4.21,1026.6,0.43,0.0,0.0,0.0
41.0,-133.0,2026-08-18 00:00:00,Victoria,18.25,83.1,4.45,1026.4,0.33,0.0,0.0,0.0
41.0,-132.5,2026-08-18 00:00:00,Victoria,18.05,84.12,4.72,1026.1,0.37,0.0,0.0,0.0
41.0,-132.0,2026-08-18 00:00:00,Victoria,17.89,85.46,4.97,1025.8,0.35,0.0,0.0,0.0
41.0,-131.0,2026-08-18 00:00:00,Victoria,17.77,86.81,5.21,1025.5,0.37,0.0,0.0,0.0
41.0,-130.5,2026-08-18 00:00:00,Victoria,17.83,87.43,5.47,1025.1000000000001,0.25,0.0,0.0,0.0
41.0,-130.0,2026-08-18 00:00:00,Victoria,17.86,87.85,5.84,1024.6,0.28,0.0,0.0,0.0
41.0,-129.5,2026-08-18 00:00:00,Victoria,17.79,88.67,6.35,1024.1,0.37,0.0,0.0,0.0
41.0,-129.0,2026-08-18 00:00:00,Victoria,17.62,89.73,7.01,1023.6,0.24,0.0,0.0,0.0
41.0,-128.0,2026-08-18 00:00:00,Victoria,17.47,90.3,7.82,1023.0,0.19,0.0,0.0,0.0
41.0,-127.5,2026-08-18 00:00:00,Victoria,17.27,90.47,8.56,1022.3000000000001,0.38,0.0,0.0,0.0
41.0,-127.0,2026-08-18 00:00:00,Victoria,17.05,90.9,9.34,1021.5,0.29,0.0,0.0,0.0
41.0,-126.0,2026-08-18 00:00:00,Victoria,16.6,91.98,10.18,1020.5,0.13,0.0,0.0,0.0
41.0,-125.5,2026-08-18 00:00:00,Victoria,15.45,93.75,10.87,1019.4,0.18,0.0,0.0,0.0
41.0,-125.0,2026-08-18 00:00:00,Victoria,13.28,97.44,9.78,1018.7,0.3,0.0,0.0,0.0
41.0,-124.5,2026-08-18 00:00:00,Victoria,13.7,89.03,4.39,1008.6,0.79,0.0,0.0,0.0
41.0,-124.0,2026-08-18 00:00:00,Victoria,21.18,46.44,1.26,938.5,0.0,0.0,0.0,0.0
41.0,-123.0,2026-08-18 00:00:00,Victoria,24.52,29.49,1.11,886.0,0.0,0.0,0.0,0.0
41.0,-122.5,2026-08-18 00:00:00,Victoria,26.49,24.82,1.0,895.9000000000001,0.0,0.0,0.0,0.0
