lat,lon,date,temperature,humidity,wind_speed,pressure,precip_24h_mm
42.0,-83.0,2026-09-21 22:48:23,17.149,82.06774139404297,33.3252607215643,1000.05,6.2940000000000005
42.0,-82.5,2026-09-21 22:48:23,17.78800000000001,82.04274139404298,39.049260721564295,999.98,3.25
42.0,-82.0,2026-09-21 22:48:23,18.527000000000044,80.74274139404298,43.387260721564296,999.95,2.7845
42.5,-82.5,2026-09-21 22:48:23,17.194000000000017,70.24274139404297,22.435260721564294,1001.01,2.121
42.5,-82.0,2026-09-21 22:48:23,17.628000000000043,71.91774139404298,18.943260721564293,999.21,1.3655
42.5,-81.5,2026-09-21 22:48:23,16.489000000000033,77.54274139404298,33.00126072156429,1001.24,0.1985
42.5,-81.0,2026-09-21 22:48:23,16.442000000000007,79.01774139404297,34.31526072156429,1001.27,0.0075
42.5,-80.5,2026-09-21 22:48:23,16.65900000000005,79.51774139404297,38.07726072156429,1001.26,0.0
42.5,-80.0,2026-09-21 22:48:23,16.810000000000002,79.19274139404297,38.311260721564295,1001.09,0.0
43.0,-82.5,2026-09-21 22:48:23,14.882000000000005,70.24274139404297,13.957260721564293,999.77,0.0
43.0,-82.0,2026-09-21 22:48:23,16.684000000000026,68.21774139404297,11.545260721564294,995.93,0.0
43.0,-81.5,2026-09-21 22:48:23,17.09400000000005,62.76774139404297,10.879260721564293,991.65,0.0
43.0,-81.0,2026-09-21 22:48:23,16.493000000000052,61.39274139404297,13.435260721564292,990.59,0.0
43.0,-80.5,2026-09-21 22:48:23,15.41900000000004,62.44274139404297,16.189260721564295,992.27,0.0075
43.0,-80.0,2026-09-21 22:48:23,13.927000000000021,75.99274139404297,16.225260721564293,998.07,0.0
43.0,-79.5,2026-09-21 22:48:23,14.657000000000039,74.86774139404297,14.821260721564292,1001.2,0.0
43.0,-79.0,2026-09-21 22:48:23,15.084000000000003,73.89274139404297,19.429260721564294,1001.59,0.0
43.5,-82.0,2026-09-21 22:48:23,14.689000000000021,67.54274139404298,21.355260721564292,1002.62,0.0
43.5,-81.5,2026-09-21 22:48:23,15.489000000000033,66.06774139404297,13.345260721564292,989.38,0.16
43.5,-81.0,2026-09-21 22:48:23,15.162000000000035,63.86774139404297,14.461260721564294,979.38,0.061
43.5,-80.5,2026-09-21 22:48:23,15.68300000000005,53.54274139404297,12.211260721564294,984.88,0.0
43.5,-80.0,2026-09-21 22:48:23,14.986000000000047,52.01774139404297,11.905260721564293,986.74,0.0075
43.5,-79.5,2026-09-21 22:48:23,13.828000000000031,71.06774139404297,26.233260721564296,1015.51,0.0
43.5,-79.0,2026-09-21 22:48:23,14.08200000000005,73.96774139404297,29.923260721564294,1015.34,0.0
43.5,-65.5,2026-09-21 22:48:23,18.476000000000056,70.00332489013672,10.842360827565194,1016.07,1.5335
44.0,-82.0,2026-09-21 22:48:23,13.992000000000019,68.54274139404298,27.871260721564294,1003.43,0.0075
44.0,-81.5,2026-09-21 22:48:23,15.468000000000018,45.69274139404297,11.545260721564294,989.48,0.0075
44.0,-81.0,2026-09-21 22:48:23,14.535000000000025,51.01774139404297,10.015260721564294,981.7,0.0
44.0,-80.5,2026-09-21 22:48:23,12.987000000000023,56.04274139404297,10.267260721564293,966.7,0.0
44.0,-80.0,2026-09-21 22:48:23,12.980000000000018,58.44274139404297,9.619260721564293,979.74,0.0
44.0,-79.5,2026-09-21 22:48:23,13.690000000000055,58.76774139404297,8.953260721564295,988.12,0.0
44.0,-79.0,2026-09-21 22:48:23,14.782000000000039,51.86774139404297,9.025260721564292,996.48,0.061
44.0,-78.5,2026-09-21 22:48:23,14.678000000000054,51.967741394042974,10.195260721564294,1002.45,0.0
44.0,-78.0,2026-09-21 22:48:23,14.833000000000027,52.81774139404297,10.393260721564294,1006.71,0.0
44.0,-77.5,2026-09-21 22:48:23,15.321000000000026,49.64274139404297,14.695260721564296,1013.2,0.0
44.0,-77.0,2026-09-21 22:48:23,14.512,57.842741394042974,21.769260721564294,1013.18,0.0155
44.0,-76.5,2026-09-21 22:48:23,13.676000000000045,70.59274139404297,29.347260721564293,1015.32,0.046
44.0,-66.0,2026-09-21 22:48:23,17.622000000000014,61.67832489013672,12.570360827565194,1011.08,1.3960000000000001
44.0,-65.5,2026-09-21 22:48:23,18.30800000000005,65.30332489013672,8.898360827565194,1008.63,1.564
44.0,-65.0,2026-09-21 22:48:23,17.510000000000048,73.92832489013672,10.806360827565195,1006.38,5.8515
44.0,-60.0,2026-09-21 22:48:23,15.468000000000018,93.27832489013673,25.260360827565194,1017.19,0.7325
44.5,-82.0,2026-09-21 22:48:23,13.031000000000006,66.06774139404297,33.88326072156429,1004.49,0.023
44.5,-81.5,2026-09-21 22:48:23,13.094000000000051,65.21774139404297,28.321260721564297,1004.26,0.0
44.5,-81.0,2026-09-21 22:48:23,13.559000000000026,52.592741394042974,13.579260721564292,993.63,0.0
44.5,-80.5,2026-09-21 22:48:23,12.310000000000002,56.467741394042974,11.977260721564294,990.3,0.0
44.5,-80.0,2026-09-21 22:48:23,14.380000000000052,46.79274139404297,9.385260721564293,1002.84,0.0
44.5,-79.5,2026-09-21 22:48:23,13.235000000000014,50.217741394042974,9.835260721564293,991.34,0.0
44.5,-79.0,2026-09-21 22:48:23,13.562000000000012,51.217741394042974,9.547260721564292,992.7,0.0
44.5,-78.5,2026-09-21 22:48:23,13.50200000000001,51.49274139404297,15.811260721564294,994.09,0.0
44.5,-78.0,2026-09-21 22:48:23,14.146000000000015,48.89274139404297,9.205260721564294,993.71,0.0
44.5,-77.5,2026-09-21 22:48:23,14.54200000000003,46.592741394042974,10.897260721564292,1001.6,0.0
44.5,-77.0,2026-09-21 22:48:23,14.649000000000001,47.01774139404297,11.743260721564294,1003.95,0.0
44.5,-76.5,2026-09-21 22:48:23,14.114000000000033,51.79274139404297,12.265260721564294,1005.9,0.0
44.5,-76.0,2026-09-21 22:48:23,14.136000000000024,52.79274139404297,11.833260721564294,1011.51,0.0305
44.5,-66.0,2026-09-21 22:48:23,13.147000000000048,81.65332489013673,18.330360827565194,1018.74,3.601
44.5,-65.5,2026-09-21 22:48:23,15.305000000000007,74.47832489013672,13.506360827565194,998.86,4.204
44.5,-65.0,2026-09-21 22:48:23,15.591000000000008,79.37832489013672,11.382360827565194,997.94,7.484500000000001
44.5,-64.5,2026-09-21 22:48:23,15.358000000000004,92.20332489013673,9.564360827565194,1007.11,3.8985000000000003
44.5,-64.0,2026-09-21 22:48:23,14.797000000000025,95.00332489013672,19.320360827565196,1016.85,8.2625
44.5,-63.5,2026-09-21 22:48:23,15.162000000000035,91.35332489013672,27.330360827565194,1017.18,5.89
45.0,-82.5,2026-09-21 22:48:23,12.074000000000012,68.01774139404297,33.72126072156429,1005.66,0.0
45.0,-82.0,2026-09-21 22:48:23,12.02800000000002,65.54274139404298,33.217260721564294,1005.48,0.0
45.0,-81.5,2026-09-21 22:48:23,12.333000000000027,60.76774139404297,29.221260721564292,1005.23,0.0
45.0,-81.0,2026-09-21 22:48:23,11.775000000000034,67.71774139404297,28.447260721564295,1005.32,0.0
45.0,-80.5,2026-09-21 22:48:23,11.975000000000023,64.81774139404297,23.641260721564294,1005.07,0.0
45.0,-80.0,2026-09-21 22:48:23,12.824000000000012,58.31774139404297,17.971260721564292,1004.65,0.0
45.0,-79.5,2026-09-21 22:48:23,13.192000000000007,49.86774139404297,10.987260721564294,995.79,0.0
45.0,-79.0,2026-09-21 22:48:23,13.174000000000035,46.69274139404297,9.439260721564294,986.7,0.0
45.0,-78.5,2026-09-21 22:48:23,12.754000000000019,48.04274139404297,9.925260721564293,980.4,0.0
45.0,-78.0,2026-09-21 22:48:23,12.29000000000002,51.217741394042974,10.429260721564294,980.57,0.0
45.0,-77.5,2026-09-21 22:48:23,12.036000000000001,51.06774139404297,10.663260721564292,978.66,0.0
45.0,-77.0,2026-09-21 22:48:23,12.677000000000021,48.64274139404297,10.663260721564292,986.45,0.0
45.0,-76.5,2026-09-21 22:48:23,13.562000000000012,47.94274139404297,10.447260721564293,1001.91,0.0
45.0,-76.0,2026-09-21 22:48:23,13.923000000000002,46.56774139404297,10.267260721564293,1008.24,0.0
45.0,-75.5,2026-09-21 22:48:23,14.286000000000001,49.89274139404297,9.817260721564294,1014.63,0.0
45.0,-75.0,2026-09-21 22:48:23,14.64100000000002,51.54274139404297,6.523260721564293,1014.99,0.0
45.0,-74.5,2026-09-21 22:48:23,13.65100000000001,60.467741394042974,6.469260721564293,1018.77,0.511
45.0,-74.0,2026-09-21 22:48:23,13.144000000000005,56.76774139404297,5.407260721564293,1000.4,1.0225
45.0,-73.5,2026-09-21 22:48:23,13.152000000000044,62.64274139404297,6.199260721564293,1016.51,1.4955
45.0,-73.0,2026-09-21 22:48:23,13.411000000000001,64.81774139404297,7.873260721564293,1013.54,3.7840000000000003
45.0,-72.5,2026-09-21 22:48:23,10.188000000000045,74.11774139404297,5.875260721564294,963.1,3.9675000000000002
45.0,-72.0,2026-09-21 22:48:23,10.152000000000044,77.29274139404298,7.225260721564292,971.73,2.5100000000000002
45.0,-71.5,2026-09-21 22:48:23,11.407000000000039,73.26774139404297,8.485260721564293,975.35,3.128
45.0,-67.0,2026-09-21 22:48:23,14.492000000000019,78.92832489013672,4.830360827565194,1017.36,0.786
45.0,-66.5,2026-09-21 22:48:23,12.586000000000013,81.67832489013672,7.9623608275651945,1018.89,0.252
45.0,-65.0,2026-09-21 22:48:23,15.075000000000045,81.47832489013672,6.900360827565193,1008.5,6.8205
45.0,-64.5,2026-09-21 22:48:23,13.106000000000051,93.77832489013673,5.6403608275651935,993.32,6.9350000000000005
45.0,-64.0,2026-09-21 22:48:23,14.846000000000004,90.05332489013672,3.426360827565193,1013.71,4.4175
45.0,-63.5,2026-09-21 22:48:23,14.253000000000043,90.12832489013672,5.154360827565193,1014.64,3.6775
45.0,-63.0,2026-09-21 22:48:23,12.852000000000032,95.17832489013672,9.384360827565194,1000.52,2.838
45.0,-62.5,2026-09-21 22:48:23,12.851000000000056,96.80332489013672,10.626360827565193,1009.46,1.3885
45.0,-62.0,2026-09-21 22:48:23,13.569000000000017,90.40332489013673,23.082360827565196,1017.5,3.021
45.5,-83.0,2026-09-21 22:48:23,10.950000000000045,68.49274139404297,23.929260721564294,1006.7,0.0
45.5,-82.5,2026-09-21 22:48:23,11.164000000000044,67.21774139404297,24.973260721564294,1006.49,0.0
45.5,-82.0,2026-09-21 22:48:23,11.392000000000053,64.41774139404298,27.475260721564293,1006.3,0.0
45.5,-81.5,2026-09-21 22:48:23,11.036000000000001,72.01774139404297,29.707260721564293,1006.27,0.0
45.5,-81.0,2026-09-21 22:48:23,11.712000000000046,64.39274139404297,27.583260721564294,1005.93,0.0
45.5,-80.5,2026-09-21 22:48:23,11.93300000000005,59.342741394042974,24.685260721564294,1005.59,0.0
45.5,-80.0,2026-09-21 22:48:23,13.154000000000053,43.01774139404297,11.833260721564294,995.4,0.0
45.5,-79.5,2026-09-21 22:48:23,12.40100000000001,47.092741394042974,10.771260721564294,986.35,0.0
45.5,-79.0,2026-09-21 22:48:23,12.146000000000015,43.01774139404297,10.645260721564293,976.32,0.0
45.5,-78.5,2026-09-21 22:48:23,11.781000000000006,42.99274139404297,11.131260721564294,969.24,0.0
45.5,-78.0,2026-09-21 22:48:23,12.349000000000046,44.66774139404297,9.853260721564293,983.09,0.0
45.5,-77.5,2026-09-21 22:48:23,12.184000000000026,48.11774139404297,9.565260721564293,988.55,0.0
45.5,-77.0,2026-09-21 22:48:23,13.024000000000001,50.66774139404297,9.115260721564294,1005.26,0.0
45.5,-76.5,2026-09-21 22:48:23,13.402000000000044,50.99274139404297,13.831260721564295,1014.2,0.0
45.5,-76.0,2026-09-21 22:48:23,14.379000000000019,47.967741394042974,9.007260721564293,1015.05,0.0075
45.5,-75.5,2026-09-21 22:48:23,14.428000000000054,48.06774139404297,11.329260721564292,1019.37,0.0
45.5,-75.0,2026-09-21 22:48:23,14.812000000000012,46.99274139404297,7.0452607215642935,1018.04,0.0
45.5,-74.5,2026-09-21 22:48:23,14.710000000000036,50.64274139404297,2.131260721564293,1016.38,0.0155
45.5,-74.0,2026-09-21 22:48:23,14.782000000000039,49.69274139404297,3.715260721564293,1014.9,0.0
45.5,-73.5,2026-09-21 22:48:23,15.565000000000055,46.79274139404297,9.115260721564294,1023.23,0.1145
45.5,-73.0,2026-09-21 22:48:23,14.174000000000035,59.592741394042974,12.895260721564293,1020.26,5.1115
45.5,-72.5,2026-09-21 22:48:23,13.494000000000028,57.54274139404297,8.089260721564294,999.85,3.273
45.5,-72.0,2026-09-21 22:48:23,13.111000000000047,64.51774139404297,6.163260721564294,1000.41,3.586
45.5,-71.5,2026-09-21 22:48:23,11.939000000000021,70.29274139404298,6.667260721564293,983.07,5.9965
45.5,-71.0,2026-09-21 22:48:23,11.233000000000004,69.01774139404297,8.449260721564293,960.4,2.8535
45.5,-67.5,2026-09-21 22:48:23,16.650000000000034,64.90332489013672,10.284360827565195,1006.25,0.0
45.5,-67.0,2026-09-21 22:48:23,17.204000000000008,57.72832489013672,8.862360827565194,1003.75,0.0
45.5,-66.5,2026-09-21 22:48:23,16.76800000000003,60.85332489013672,6.036360827565193,1004.38,0.20600000000000002
45.5,-66.0,2026-09-21 22:48:23,16.59200000000004,61.95332489013672,7.008360827565194,1011.08,0.0155
45.5,-65.5,2026-09-21 22:48:23,16.150000000000034,57.17832489013672,6.018360827565193,981.77,0.2595
45.5,-65.0,2026-09-21 22:48:23,13.80800000000005,75.65332489013672,5.208360827565194,1018.54,1.2055
45.5,-64.5,2026-09-21 22:48:23,16.00600000000003,72.75332489013672,1.2663608275651932,1006.46,4.471
45.5,-64.0,2026-09-21 22:48:23,11.912000000000035,96.35332489013672,1.8783608275651933,987.88,9.14
45.5,-63.5,2026-09-21 22:48:23,11.781000000000006,98.77832489013673,3.2103608275651934,995.79,4.6770000000000005
45.5,-63.0,2026-09-21 22:48:23,12.543000000000006,94.50332489013672,5.892360827565193,993.36,2.228
45.5,-62.5,2026-09-21 22:48:23,14.446000000000026,79.07832489013673,9.348360827565193,997.36,1.854
45.5,-62.0,2026-09-21 22:48:23,13.336000000000013,81.42832489013672,6.4143608275651935,1008.38,0.35100000000000003
45.5,-61.5,2026-09-21 22:48:23,12.678000000000054,84.12832489013672,8.412360827565195,1003.24,0.1295
45.5,-61.0,2026-09-21 22:48:23,13.398000000000025,81.90332489013673,17.322360827565195,1018.24,0.5265
46.0,-84.0,2026-09-21 22:48:23,11.15500000000003,61.39274139404297,19.483260721564296,1004.7,0.0
46.0,-83.5,2026-09-21 22:48:23,10.441000000000031,69.04274139404298,22.201260721564296,1006.74,0.0
46.0,-83.0,2026-09-21 22:48:23,10.861000000000047,65.34274139404297,22.597260721564293,1007.21,0.0
