lat,lon,date,nearest_station,temperature,humidity,wind_speed,pressure,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm
41.0,-141.0,2026-08-25 00:00:00,Victoria,19.02,74.85,7.54,1019.8000000000001,1.6,0.0,0.0,0.0
41.0,-140.5,2026-08-25 00:00:00,Victoria,19.09,75.54,7.8,1019.2,1.66,0.0,0.0,0.0
41.0,-140.0,2026-08-25 00:00:00,Victoria,19.25,75.85,8.01,1018.7,1.86,0.0,0.0,0.0
41.0,-139.5,2026-08-25 00:00:00,Victoria,19.39,76.01,8.05,1018.1,1.94,0.0,0.0,0.0
41.0,-139.0,2026-08-25 00:00:00,Victoria,19.56,75.92,7.93,1017.5,1.86,0.0,0.0,0.0
41.0,-138.0,2026-08-25 00:00:00,Victoria,19.62,76.49,7.68,1016.9,1.56,0.0,0.0,0.0
41.0,-137.5,2026-08-25 00:00:00,Victoria,19.68,77.0,7.49,1016.4,1.43,0.0,0.0,0.0
41.0,-137.0,2026-08-25 00:00:00,Victoria,19.69,77.77,7.43,1016.0,1.35,0.0,0.0,0.0
41.0,-136.0,2026-08-25 00:00:00,Victoria,19.65,78.8,7.33,1015.6999999999999,1.23,0.0,0.0,0.0
41.0,-135.5,2026-08-25 00:00:00,Victoria,19.57,80.22,7.35,1015.4000000000001,1.14,0.0,0.0,0.0
41.0,-135.0,2026-08-25 00:00:00,Victoria,19.48,81.59,7.34,1015.3,1.2,0.0,0.0,0.0
41.0,-134.5,2026-08-25 00:00:00,Victoria,19.37,83.0,7.31,1015.3,0.89,0.0,0.0,0.0
41.0,-134.0,2026-08-25 00:00:00,Victoria,19.23,84.54,7.05,1015.3,0.59,0.0,0.0,0.0
41.0,-133.0,2026-08-25 00:00:00,Victoria,19.05,86.62,6.87,1015.4000000000001,0.79,0.0,0.0,0.0
41.0,-132.5,2026-08-25 00:00:00,Victoria,18.79,88.94,6.82,1015.6999999999999,0.83,0.0,0.0,0.0
41.0,-132.0,2026-08-25 00:00:00,Victoria,18.63,89.73,6.77,1015.9000000000001,0.66,0.0,0.0,0.0
41.0,-131.0,2026-08-25 00:00:00,Victoria,18.5,90.36,6.48,1016.2,0.47,0.0,0.0,0.0
41.0,-130.5,2026-08-25 00:00:00,Victoria,18.43,90.33,6.16,1016.5,0.38,0.0,0.0,0.0
41.0,-130.0,2026-08-25 00:00:00,Victoria,18.29,90.63,5.66,1016.8000000000001,0.22,0.0,0.0,0.0
41.0,-129.5,2026-08-25 00:00:00,Victoria,18.11,90.85,5.29,1017.2,0.27,0.0,0.0,0.0
41.0,-129.0,2026-08-25 00:00:00,Victoria,17.93,90.4,5.15,1017.5,0.3,0.0,0.0,0.0
41.0,-128.0,2026-08-25 00:00:00,Victoria,17.66,90.41,4.8,1017.8,0.26,0.0,0.0,0.0
41.0,-127.5,2026-08-25 00:00:00,Victoria,17.18,91.48,4.11,1017.9000000000001,0.36,0.0,0.0,0.0
41.0,-127.0,2026-08-25 00:00:00,Victoria,16.76,91.98,3.57,1018.0,0.6,0.0,0.0,0.0
41.0,-126.0,2026-08-25 00:00:00,Victoria,16.66,91.5,3.02,1018.0,0.67,0.0,0.0,0.0
41.0,-125.5,2026-08-25 00:00:00,Victoria,15.86,94.95,2.26,1018.0,0.63,0.0,0.0,0.0
41.0,-125.0,2026-08-25 00:00:00,Victoria,14.95,97.04,2.5,1018.1999999999999,0.6,0.0,0.0,0.0
41.0,-124.5,2026-08-25 00:00:00,Victoria,14.89,92.1,2.14,1008.9,0.49,0.0,0.0,0.0
41.0,-124.0,2026-08-25 00:00:00,Victoria,19.3,51.69,1.24,938.5,0.0,0.0,0.0,0.0
41.0,-123.0,2026-08-25 00:00:00,Victoria,23.0,26.49,0.88,885.3,0.0,0.0,0.0,0.0
41.0,-122.5,2026-08-25 00:00:00,Victoria,24.27,23.55,1.4,896.0,0.0,0.0,0.0,0.0
41.0,-122.0,2026-08-25 00:00:00,Victoria,24.49,24.48,1.75,894.8000000000001,0.0,0.0,0.0,0.0
41.0,-121.0,2026-08-25 00:00:00,Victoria,22.08,30.23,2.14,856.9,0.0,0.0,0.0,0.0
41.0,-120.5,2026-08-25 00:00:00,Victoria,21.34,34.61,2.35,835.0,0.0,0.0,0.0,0.0
41.0,-120.0,2026-08-25 00:00:00,Victoria,22.89,31.59,2.95,834.8000000000001,0.0,0.0,0.0,0.0
41.0,-119.5,2026-08-25 00:00:00,Victoria,24.54,29.99,2.52,844.5,0.0,0.0,0.0,0.0
41.0,-119.0,2026-08-25 00:00:00,Victoria,26.83,26.2,2.32,860.6999999999999,0.06,0.0,0.0,0.0
41.0,-118.0,2026-08-25 00:00:00,Victoria,27.07,26.43,1.99,858.1,0.21,0.0,0.0,0.0
41.0,-117.5,2026-08-25 00:00:00,Victoria,26.49,27.11,1.83,850.6999999999999,0.23,0.0,0.0,0.0
41.0,-117.0,2026-08-25 00:00:00,Victoria,25.66,30.67,2.11,843.0,0.22,0.0,0.0,0.0
41.0,-116.0,2026-08-25 00:00:00,Victoria,24.03,35.52,2.04,824.0999999999999,0.83,0.0,0.0,0.0
41.0,-115.5,2026-08-25 00:00:00,Kelowna,23.8,35.99,2.02,815.3,0.79,0.0,0.0,0.0
41.0,-115.0,2026-08-25 00:00:00,Kelowna,24.26,35.38,1.66,814.5999999999999,0.91,0.0,0.0,0.0
