lat,lon,date,nearest_station,temperature,humidity,wind_speed,pressure,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm
41.0,-141.0,2026-08-10 00:00:00,Victoria,20.02,93.23,3.37,1025.3,0.06,0.0,0.0,0.0
41.0,-140.5,2026-08-10 00:00:00,Victoria,20.11,91.75,3.18,1025.5,0.04,0.0,0.0,0.0
41.0,-140.0,2026-08-10 00:00:00,Victoria,20.25,90.56,3.31,1025.6999999999998,0.0,0.0,0.0,0.0
41.0,-139.5,2026-08-10 00:00:00,Victoria,20.34,89.06,3.68,1025.8,0.0,0.0,0.0,0.0
41.0,-139.0,2026-08-10 00:00:00,Victoria,20.34,87.06,3.91,1025.9,0.0,0.0,0.0,0.0
41.0,-138.0,2026-08-10 00:00:00,Victoria,20.06,87.06,3.69,1026.1,0.0,0.0,0.0,0.0
41.0,-137.5,2026-08-10 00:00:00,Victoria,19.96,85.66,3.46,1026.2,0.0,0.0,0.0,0.0
41.0,-137.0,2026-08-10 00:00:00,Victoria,19.85,85.81,3.08,1026.2,0.0,0.0,0.0,0.0
41.0,-136.0,2026-08-10 00:00:00,Victoria,19.54,87.05,2.9,1026.2,0.0,0.0,0.0,0.0
41.0,-135.5,2026-08-10 00:00:00,Victoria,19.32,88.89,2.93,1026.2,0.0,0.0,0.0,0.0
41.0,-135.0,2026-08-10 00:00:00,Victoria,19.1,91.14,2.74,1026.1,0.0,0.0,0.0,0.0
41.0,-134.5,2026-08-10 00:00:00,Victoria,18.74,93.21,2.83,1026.0,0.0,0.0,0.0,0.0
41.0,-134.0,2026-08-10 00:00:00,Victoria,18.19,93.86,3.32,1025.8,0.01,0.0,0.0,0.0
41.0,-133.0,2026-08-10 00:00:00,Victoria,17.83,93.28,4.1,1025.6,0.04,0.0,0.0,0.0
41.0,-132.5,2026-08-10 00:00:00,Victoria,17.69,92.51,4.86,1025.3,0.16,0.0,0.0,0.0
41.0,-132.0,2026-08-10 00:00:00,Victoria,17.62,91.56,5.63,1024.8999999999999,0.21,0.0,0.0,0.0
41.0,-131.0,2026-08-10 00:00:00,Victoria,17.69,90.42,6.34,1024.5,0.1,0.0,0.0,0.0
41.0,-130.5,2026-08-10 00:00:00,Victoria,17.73,89.74,6.98,1024.0,0.11,0.0,0.0,0.0
41.0,-130.0,2026-08-10 00:00:00,Victoria,17.76,89.23,7.68,1023.4000000000001,0.16,0.0,0.0,0.0
41.0,-129.5,2026-08-10 00:00:00,Victoria,17.68,88.81,8.5,1022.8,0.16,0.0,0.0,0.0
41.0,-129.0,2026-08-10 00:00:00,Victoria,17.5,88.8,9.38,1022.2,0.15,0.0,0.0,0.0
41.0,-128.0,2026-08-10 00:00:00,Victoria,17.26,89.26,10.23,1021.3,0.08,0.0,0.0,0.0
41.0,-127.5,2026-08-10 00:00:00,Victoria,16.92,89.68,11.14,1020.3,0.03,0.0,0.0,0.0
41.0,-127.0,2026-08-10 00:00:00,Victoria,16.64,90.79,12.23,1019.3000000000001,0.0,0.0,0.0,0.0
41.0,-126.0,2026-08-10 00:00:00,Victoria,16.11,92.19,13.45,1017.8,0.0,0.0,0.0,0.0
41.0,-125.5,2026-08-10 00:00:00,Victoria,15.56,93.23,14.49,1016.1,0.0,0.0,0.0,0.0
41.0,-125.0,2026-08-10 00:00:00,Victoria,14.15,95.05,14.88,1014.9,0.02,0.0,0.0,0.0
41.0,-124.5,2026-08-10 00:00:00,Victoria,14.27,84.19,6.27,1004.2,0.18,0.0,0.0,0.0
41.0,-124.0,2026-08-10 00:00:00,Victoria,22.06,36.28,1.39,934.9,0.0,0.0,0.0,0.0
41.0,-123.0,2026-08-10 00:00:00,Victoria,26.05,19.85,1.31,882.8,0.0,0.0,0.0,0.0
41.0,-122.5,2026-08-10 00:00:00,Victoria,27.79,18.37,1.38,892.8,0.0,0.0,0.0,0.0
41.0,-122.0,2026-08-10 00:00:00,Victoria,27.06,19.32,1.8,891.5999999999999,0.0,0.0,0.0,0.0
41.0,-121.0,2026-08-10 00:00:00,Victoria,24.87,22.27,2.01,854.3000000000001,0.0,0.0,0.0,0.0
41.0,-120.5,2026-08-10 00:00:00,Victoria,24.84,22.04,2.22,832.2,0.0,0.0,0.0,0.0
41.0,-120.0,2026-08-10 00:00:00,Victoria,26.24,19.54,2.9,831.7,0.0,0.0,0.0,0.0
41.0,-119.5,2026-08-10 00:00:00,Victoria,27.35,18.83,2.6,840.9000000000001,0.0,0.0,0.0,0.0
41.0,-119.0,2026-08-10 00:00:00,Victoria,29.21,15.41,2.26,856.9,0.0,0.0,0.0,0.0
41.0,-118.0,2026-08-10 00:00:00,Victoria,29.75,15.11,2.02,854.2,0.01,0.0,0.0,0.0
41.0,-117.5,2026-08-10 00:00:00,Victoria,29.12,16.27,1.9,846.8000000000001,0.0,0.0,0.0,0.0
41.0,-117.0,2026-08-10 00:00:00,Victoria,28.2,18.51,2.04,839.0999999999999,0.0,0.0,0.0,0.0
41.0,-116.0,2026-08-10 00:00:00,Victoria,26.75,21.29,2.46,820.3,0.01,0.0,0.0,0.0
41.0,-115.5,2026-08-10 00:00:00,Kelowna,26.38,23.99,2.87,811.5999999999999,0.11,0.0,0.0,0.0
41.0,-115.0,2026-08-10 00:00:00,Kelowna,26.88,25.12,2.69,810.6999999999999,0.36,0.0,0.0,0.0
