lat,lon,date,nearest_station,temperature,humidity,wind_speed,pressure,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm
41.0,-141.0,2026-08-16 00:00:00,Victoria,20.01,85.72,4.85,1024.6,1.61,0.0,0.0,0.0
41.0,-140.5,2026-08-16 00:00:00,Victoria,20.09,85.42,4.77,1024.5,1.67,0.0,0.0,0.0
41.0,-140.0,2026-08-16 00:00:00,Victoria,20.23,85.97,4.76,1024.3000000000002,1.8,0.0,0.0,0.0
41.0,-139.5,2026-08-16 00:00:00,Victoria,20.35,86.17,4.77,1024.2,1.57,0.0,0.0,0.0
41.0,-139.0,2026-08-16 00:00:00,Victoria,20.41,87.28,4.63,1024.1,1.6,0.0,0.0,0.0
41.0,-138.0,2026-08-16 00:00:00,Victoria,20.29,90.16,4.12,1024.1,1.07,0.0,0.0,0.0
41.0,-137.5,2026-08-16 00:00:00,Victoria,20.3,90.42,3.7,1024.1,0.88,0.0,0.0,0.0
41.0,-137.0,2026-08-16 00:00:00,Victoria,20.22,90.94,3.59,1024.1,0.58,0.0,0.0,0.0
41.0,-136.0,2026-08-16 00:00:00,Victoria,20.16,89.83,3.41,1024.3000000000002,0.5,0.0,0.0,0.0
41.0,-135.5,2026-08-16 00:00:00,Victoria,20.1,89.41,2.98,1024.4,0.52,0.0,0.0,0.0
41.0,-135.0,2026-08-16 00:00:00,Victoria,19.89,90.14,2.83,1024.6,0.85,0.0,0.0,0.0
41.0,-134.5,2026-08-16 00:00:00,Victoria,19.61,90.71,3.28,1024.7,2.93,0.0,0.0,0.0
41.0,-134.0,2026-08-16 00:00:00,Victoria,19.19,91.03,3.73,1024.8999999999999,4.9,0.0,0.0,0.0
41.0,-133.0,2026-08-16 00:00:00,Victoria,18.66,90.02,3.81,1025.3,3.11,0.0,0.0,0.0
41.0,-132.5,2026-08-16 00:00:00,Victoria,18.24,87.3,3.34,1025.5,0.59,0.0,0.0,0.0
41.0,-132.0,2026-08-16 00:00:00,Victoria,18.06,85.32,3.03,1025.5,0.08,0.0,0.0,0.0
41.0,-131.0,2026-08-16 00:00:00,Victoria,17.91,84.42,3.12,1025.4,0.26,0.0,0.0,0.0
41.0,-130.5,2026-08-16 00:00:00,Victoria,17.79,84.77,3.55,1025.2,0.33,0.0,0.0,0.0
41.0,-130.0,2026-08-16 00:00:00,Victoria,17.68,84.65,3.98,1025.1000000000001,0.26,0.0,0.0,0.0
41.0,-129.5,2026-08-16 00:00:00,Victoria,17.26,85.2,4.29,1024.8,0.32,0.0,0.0,0.0
41.0,-129.0,2026-08-16 00:00:00,Victoria,17.05,85.19,4.87,1024.5,0.31,0.0,0.0,0.0
41.0,-128.0,2026-08-16 00:00:00,Victoria,16.85,85.81,5.71,1024.2,0.32,0.0,0.0,0.0
41.0,-127.5,2026-08-16 00:00:00,Victoria,16.71,86.79,6.66,1023.7,0.33,0.0,0.0,0.0
41.0,-127.0,2026-08-16 00:00:00,Victoria,16.54,88.76,7.97,1023.1,0.21,0.0,0.0,0.0
41.0,-126.0,2026-08-16 00:00:00,Victoria,15.74,91.96,8.99,1022.2,0.02,0.0,0.0,0.0
41.0,-125.5,2026-08-16 00:00:00,Victoria,14.74,93.78,9.8,1021.2,0.0,0.0,0.0,0.0
41.0,-125.0,2026-08-16 00:00:00,Victoria,12.79,97.25,9.21,1020.5,0.39,0.0,0.0,0.0
41.0,-124.5,2026-08-16 00:00:00,Victoria,12.86,89.63,3.93,1010.5,0.77,0.0,0.0,0.0
41.0,-124.0,2026-08-16 00:00:00,Victoria,19.91,53.45,1.17,940.1999999999999,0.0,0.0,0.0,0.0
41.0,-123.0,2026-08-16 00:00:00,Victoria,22.17,34.63,0.84,887.4,0.0,0.0,0.0,0.0
41.0,-122.5,2026-08-16 00:00:00,Victoria,23.32,26.0,0.98,898.0,0.0,0.0,0.0,0.0
41.0,-122.0,2026-08-16 00:00:00,Victoria,23.26,23.1,1.19,896.5999999999999,0.0,0.0,0.0,0.0
41.0,-121.0,2026-08-16 00:00:00,Victoria,21.14,25.4,1.45,858.5,0.0,0.0,0.0,0.0
41.0,-120.5,2026-08-16 00:00:00,Victoria,20.8,26.15,1.57,836.0,0.0,0.0,0.0,0.0
41.0,-120.0,2026-08-16 00:00:00,Victoria,21.81,25.94,2.43,835.4000000000001,0.0,0.0,0.0,0.0
41.0,-119.5,2026-08-16 00:00:00,Victoria,23.03,26.45,2.3,844.9,0.0,0.0,0.0,0.0
41.0,-119.0,2026-08-16 00:00:00,Victoria,25.25,21.92,2.24,861.1,0.0,0.0,0.0,0.0
41.0,-118.0,2026-08-16 00:00:00,Victoria,25.9,22.72,2.08,858.3,0.01,0.0,0.0,0.0
41.0,-117.5,2026-08-16 00:00:00,Victoria,25.71,25.93,2.18,850.6999999999999,0.03,0.0,0.0,0.0
41.0,-117.0,2026-08-16 00:00:00,Victoria,25.59,27.29,2.16,842.9000000000001,0.06,0.0,0.0,0.0
41.0,-116.0,2026-08-16 00:00:00,Victoria,24.51,29.38,2.06,823.9,0.11,0.0,0.0,0.0
41.0,-115.5,2026-08-16 00:00:00,Kelowna,23.99,30.02,2.26,815.1999999999999,0.04,0.0,0.0,0.0
41.0,-115.0,2026-08-16 00:00:00,Kelowna,23.87,29.58,2.12,814.5,0.0,0.0,0.0,0.0
41.0,-114.5,2026-08-16 00:00:00,Kelowna,24.98,31.35,2.07,832.6999999999999,0.36,0.0,0.0,0.0
41.0,-114.0,2026-08-16 00:00:00,Kelowna,25.98,37.43,2.46,861.5999999999999,1.66,0.0,0.0,0.0
41.0,-113.0,2026-08-16 00:00:00,Kelowna,26.88,35.75,2.32,873.4000000000001,1.29,0.0,0.0,0.0
41.0,-112.5,2026-08-16 00:00:00,Calgary,26.88,33.32,2.46,863.4000000000001,0.76,0.0,0.0,0.0
41.0,-112.0,2026-08-16 00:00:00,Calgary,23.79,32.67,2.04,831.1,0.09,0.0,0.0,0.0
41.0,-111.0,2026-08-16 00:00:00,Calgary,20.03,34.26,2.31,783.0,0.0,0.0,0.0,0.0
41.0,-110.5,2026-08-16 00:00:00,Regina,17.04,39.04,1.37,753.7,0.0,0.0,0.0,0.0
41.0,-110.0,2026-08-16 00:00:00,Regina,18.47,35.26,0.74,764.9,0.0,0.0,0.0,0.0
41.0,-109.5,2026-08-16 00:00:00,Regina,20.73,32.5,1.04,783.9,0.0,0.0,0.0,0.0
41.0,-109.0,2026-08-16 00:00:00,Regina,22.08,30.77,1.35,795.9000000000001,0.0,0.0,0.0,0.0
41.0,-108.0,2026-08-16 00:00:00,Regina,22.32,31.24,1.56,801.4,0.0,0.0,0.0,0.0
41.0,-107.5,2026-08-16 00:00:00,Regina,21.03,33.31,1.83,786.2,0.0,0.0,0.0,0.0
41.0,-107.0,2026-08-16 00:00:00,Regina,18.02,37.47,1.92,760.4000000000001,0.01,0.0,0.0,0.0
41.0,-106.0,2026-08-16 00:00:00,Regina,16.96,40.03,2.1,750.1999999999999,0.01,0.0,0.0,0.0
41.0,-105.5,2026-08-16 00:00:00,Regina,17.76,44.8,1.92,768.7,0.22,0.0,0.0,0.0
