lat,lon,date,nearest_station,temperature,humidity,wind_speed,pressure,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm
41.0,-141.0,2026-08-28 00:00:00,Victoria,19.0,81.36,4.85,1026.4,1.5,0.0,0.0,0.0
41.0,-140.5,2026-08-28 00:00:00,Victoria,19.05,80.9,4.52,1026.2,1.42,0.0,0.0,0.0
41.0,-140.0,2026-08-28 00:00:00,Victoria,19.24,79.65,4.26,1025.9,1.5,0.0,0.0,0.0
41.0,-139.5,2026-08-28 00:00:00,Victoria,19.32,78.38,3.85,1025.6999999999998,1.42,0.0,0.0,0.0
41.0,-139.0,2026-08-28 00:00:00,Victoria,19.4,77.19,3.54,1025.5,1.29,0.0,0.0,0.0
41.0,-138.0,2026-08-28 00:00:00,Victoria,19.44,76.54,3.26,1025.3,1.11,0.0,0.0,0.0
41.0,-137.5,2026-08-28 00:00:00,Victoria,19.44,76.22,3.16,1025.1000000000001,0.95,0.0,0.0,0.0
41.0,-137.0,2026-08-28 00:00:00,Victoria,19.35,76.58,3.18,1024.8999999999999,0.76,0.0,0.0,0.0
41.0,-136.0,2026-08-28 00:00:00,Victoria,19.16,77.71,3.45,1024.8,0.51,0.0,0.0,0.0
41.0,-135.5,2026-08-28 00:00:00,Victoria,19.14,78.3,3.87,1024.6,0.64,0.0,0.0,0.0
41.0,-135.0,2026-08-28 00:00:00,Victoria,19.07,79.06,4.2,1024.4,0.69,0.0,0.0,0.0
41.0,-134.5,2026-08-28 00:00:00,Victoria,18.96,79.87,4.42,1024.1,0.63,0.0,0.0,0.0
41.0,-134.0,2026-08-28 00:00:00,Victoria,18.8,81.02,4.64,1023.8,0.46,0.0,0.0,0.0
41.0,-133.0,2026-08-28 00:00:00,Victoria,18.71,82.1,4.97,1023.5,0.43,0.0,0.0,0.0
41.0,-132.5,2026-08-28 00:00:00,Victoria,18.63,82.89,5.24,1023.1999999999999,0.56,0.0,0.0,0.0
41.0,-132.0,2026-08-28 00:00:00,Victoria,18.6,83.35,5.37,1022.9000000000001,0.75,0.0,0.0,0.0
