lat,lon,date,nearest_station,temperature,humidity,wind_speed,pressure,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm
41.0,-141.0,2026-08-23 00:00:00,Victoria,20.41,84.45,6.43,1017.6999999999999,20.13,0.0,0.0,0.0
41.0,-140.5,2026-08-23 00:00:00,Victoria,20.42,84.49,6.72,1018.1,16.67,0.0,0.0,0.0
41.0,-140.0,2026-08-23 00:00:00,Victoria,20.41,84.53,7.22,1018.6,14.67,0.0,0.0,0.0
41.0,-139.5,2026-08-23 00:00:00,Victoria,20.43,84.34,6.99,1019.0999999999999,10.93,0.0,0.0,0.0
41.0,-139.0,2026-08-23 00:00:00,Victoria,20.49,84.07,6.6,1019.5999999999999,9.35,0.0,0.0,0.0
41.0,-138.0,2026-08-23 00:00:00,Victoria,20.46,84.13,6.46,1020.1,6.06,0.0,0.0,0.0
41.0,-137.5,2026-08-23 00:00:00,Victoria,20.36,84.51,6.25,1020.6,2.86,0.0,0.0,0.0
41.0,-137.0,2026-08-23 00:00:00,Victoria,20.23,83.99,6.1,1021.1,2.75,0.0,0.0,0.0
41.0,-136.0,2026-08-23 00:00:00,Victoria,19.93,83.92,5.81,1021.5999999999999,1.56,0.0,0.0,0.0
41.0,-135.5,2026-08-23 00:00:00,Victoria,19.7,83.15,5.33,1022.0999999999999,0.67,0.0,0.0,0.0
41.0,-135.0,2026-08-23 00:00:00,Victoria,19.27,83.64,4.46,1022.5,0.66,0.0,0.0,0.0
41.0,-134.5,2026-08-23 00:00:00,Victoria,18.82,83.69,3.44,1022.8,0.68,0.0,0.0,0.0
41.0,-134.0,2026-08-23 00:00:00,Victoria,18.48,83.74,2.7,1023.0,0.64,0.0,0.0,0.0
41.0,-133.0,2026-08-23 00:00:00,Victoria,18.18,84.11,2.42,1023.1,0.54,0.0,0.0,0.0
41.0,-132.5,2026-08-23 00:00:00,Victoria,17.94,84.6,2.38,1023.1,0.46,0.0,0.0,0.0
41.0,-132.0,2026-08-23 00:00:00,Victoria,17.87,84.82,2.91,1023.0,0.6,0.0,0.0,0.0
41.0,-131.0,2026-08-23 00:00:00,Victoria,17.98,84.65,3.78,1022.8,0.66,0.0,0.0,0.0
41.0,-130.5,2026-08-23 00:00:00,Victoria,18.05,84.53,4.67,1022.5,0.58,0.0,0.0,0.0
41.0,-130.0,2026-08-23 00:00:00,Victoria,18.1,84.45,5.49,1022.2,0.5,0.0,0.0,0.0
41.0,-129.5,2026-08-23 00:00:00,Victoria,18.09,84.6,6.31,1021.8000000000001,0.33,0.0,0.0,0.0
41.0,-129.0,2026-08-23 00:00:00,Victoria,17.92,86.41,7.14,1021.2,0.22,0.0,0.0,0.0
41.0,-128.0,2026-08-23 00:00:00,Victoria,17.48,90.45,7.76,1020.6,0.17,0.0,0.0,0.0
41.0,-127.5,2026-08-23 00:00:00,Victoria,17.01,93.17,8.27,1020.0,0.1,0.0,0.0,0.0
41.0,-127.0,2026-08-23 00:00:00,Victoria,16.88,92.67,9.14,1019.2,0.12,0.0,0.0,0.0
41.0,-126.0,2026-08-23 00:00:00,Victoria,16.36,93.67,9.84,1018.1999999999999,0.13,0.0,0.0,0.0
41.0,-125.5,2026-08-23 00:00:00,Victoria,14.53,96.63,10.18,1017.0999999999999,0.25,0.0,0.0,0.0
41.0,-125.0,2026-08-23 00:00:00,Victoria,12.68,98.06,9.83,1016.5,0.75,0.0,0.0,0.0
41.0,-124.5,2026-08-23 00:00:00,Victoria,13.23,87.9,5.08,1006.4,0.85,0.0,0.0,0.0
41.0,-124.0,2026-08-23 00:00:00,Victoria,20.73,46.09,1.36,936.5,0.0,0.0,0.0,0.0
