lat,lon,date,nearest_station,temperature,humidity,wind_speed,pressure,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm
41.0,-141.0,2026-08-19 00:00:00,Victoria,19.32,79.71,4.28,1027.0,0.97,0.0,0.0,0.0
41.0,-140.5,2026-08-19 00:00:00,Victoria,19.32,79.83,4.23,1026.8000000000002,1.05,0.0,0.0,0.0
41.0,-140.0,2026-08-19 00:00:00,Victoria,19.39,79.54,4.14,1026.6,1.22,0.0,0.0,0.0
41.0,-139.5,2026-08-19 00:00:00,Victoria,19.5,78.45,4.04,1026.3,1.26,0.0,0.0,0.0
41.0,-139.0,2026-08-19 00:00:00,Victoria,19.51,78.26,4.01,1026.1,1.23,0.0,0.0,0.0
41.0,-138.0,2026-08-19 00:00:00,Victoria,19.42,78.57,4.01,1025.9,1.01,0.0,0.0,0.0
41.0,-137.5,2026-08-19 00:00:00,Victoria,19.38,78.95,4.02,1025.6,0.94,0.0,0.0,0.0
41.0,-137.0,2026-08-19 00:00:00,Victoria,19.3,79.7,4.03,1025.4,1.1,0.0,0.0,0.0
41.0,-136.0,2026-08-19 00:00:00,Victoria,19.18,79.96,3.99,1025.2,1.05,0.0,0.0,0.0
41.0,-135.5,2026-08-19 00:00:00,Victoria,19.09,80.2,4.11,1024.8999999999999,1.15,0.0,0.0,0.0
41.0,-135.0,2026-08-19 00:00:00,Victoria,18.96,80.33,4.28,1024.7,0.69,0.0,0.0,0.0
41.0,-134.5,2026-08-19 00:00:00,Victoria,18.81,80.2,4.47,1024.5,0.54,0.0,0.0,0.0
41.0,-134.0,2026-08-19 00:00:00,Victoria,18.59,80.87,4.64,1024.2,0.53,0.0,0.0,0.0
41.0,-133.0,2026-08-19 00:00:00,Victoria,18.32,82.1,4.89,1023.9,0.43,0.0,0.0,0.0
41.0,-132.5,2026-08-19 00:00:00,Victoria,18.07,83.91,5.22,1023.6,0.24,0.0,0.0,0.0
41.0,-132.0,2026-08-19 00:00:00,Victoria,17.9,85.21,5.64,1023.1999999999999,0.22,0.0,0.0,0.0
41.0,-131.0,2026-08-19 00:00:00,Victoria,17.79,86.41,6.01,1022.8,0.24,0.0,0.0,0.0
41.0,-130.5,2026-08-19 00:00:00,Victoria,17.76,87.09,6.39,1022.3000000000001,0.27,0.0,0.0,0.0
41.0,-130.0,2026-08-19 00:00:00,Victoria,17.71,87.63,6.71,1021.8000000000001,0.33,0.0,0.0,0.0
41.0,-129.5,2026-08-19 00:00:00,Victoria,17.65,88.31,6.97,1021.3,0.32,0.0,0.0,0.0
41.0,-129.0,2026-08-19 00:00:00,Victoria,17.53,89.63,7.26,1020.6999999999999,0.24,0.0,0.0,0.0
41.0,-128.0,2026-08-19 00:00:00,Victoria,17.3,91.0,7.63,1020.1,0.22,0.0,0.0,0.0
41.0,-127.5,2026-08-19 00:00:00,Victoria,16.92,93.26,8.18,1019.5,0.17,0.0,0.0,0.0
41.0,-127.0,2026-08-19 00:00:00,Victoria,16.59,94.48,8.75,1018.7,0.2,0.0,0.0,0.0
41.0,-126.0,2026-08-19 00:00:00,Victoria,16.37,95.07,9.63,1017.6999999999999,0.25,0.0,0.0,0.0
41.0,-125.5,2026-08-19 00:00:00,Victoria,15.39,96.14,10.3,1016.5999999999999,0.33,0.0,0.0,0.0
41.0,-125.0,2026-08-19 00:00:00,Victoria,13.46,97.9,9.15,1016.0,0.69,0.0,0.0,0.0
41.0,-124.5,2026-08-19 00:00:00,Victoria,13.72,90.74,3.78,1006.1,1.04,0.0,0.0,0.0
