lat,lon,date,nearest_station,temperature,humidity,wind_speed,pressure,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm
41.0,-141.0,2026-08-24 00:00:00,Victoria,19.88,84.38,5.78,1015.8,2.08,0.0,0.0,0.0
41.0,-140.5,2026-08-24 00:00:00,Victoria,19.9,84.24,5.26,1015.5,2.15,0.0,0.0,0.0
41.0,-140.0,2026-08-24 00:00:00,Victoria,20.01,82.64,4.85,1015.3,2.69,0.0,0.0,0.0
41.0,-139.5,2026-08-24 00:00:00,Victoria,20.14,80.93,4.52,1015.1999999999999,2.12,0.0,0.0,0.0
41.0,-139.0,2026-08-24 00:00:00,Victoria,20.23,79.89,4.32,1015.1,1.41,0.0,0.0,0.0
41.0,-138.0,2026-08-24 00:00:00,Victoria,20.15,80.88,4.09,1015.1,3.31,0.0,0.0,0.0
41.0,-137.5,2026-08-24 00:00:00,Victoria,20.12,81.8,4.56,1015.1999999999999,6.01,0.0,0.0,0.0
41.0,-137.0,2026-08-24 00:00:00,Victoria,20.05,83.3,5.15,1015.3,6.21,0.0,0.0,0.0
41.0,-136.0,2026-08-24 00:00:00,Victoria,19.9,85.13,5.53,1015.6,6.75,0.0,0.0,0.0
41.0,-135.5,2026-08-24 00:00:00,Victoria,19.84,85.48,5.91,1016.0,6.88,0.0,0.0,0.0
41.0,-135.0,2026-08-24 00:00:00,Victoria,19.55,86.18,6.24,1016.5,5.24,0.0,0.0,0.0
41.0,-134.5,2026-08-24 00:00:00,Victoria,19.09,87.48,6.36,1017.0,3.21,0.0,0.0,0.0
41.0,-134.0,2026-08-24 00:00:00,Victoria,18.65,88.11,6.03,1017.5,2.25,0.0,0.0,0.0
41.0,-133.0,2026-08-24 00:00:00,Victoria,18.2,87.26,5.2,1018.1,1.49,0.0,0.0,0.0
41.0,-132.5,2026-08-24 00:00:00,Victoria,18.03,83.85,3.77,1018.5,0.72,0.0,0.0,0.0
41.0,-132.0,2026-08-24 00:00:00,Victoria,18.04,81.16,2.39,1018.7,0.46,0.0,0.0,0.0
