lat,lon,date,nearest_station,temperature,humidity,wind_speed,pressure,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm
41.0,-141.0,2026-08-26 00:00:00,Victoria,18.83,75.61,6.09,1024.0,1.02,0.0,0.0,0.0
41.0,-140.5,2026-08-26 00:00:00,Victoria,18.9,75.82,6.38,1023.6,1.02,0.0,0.0,0.0
41.0,-140.0,2026-08-26 00:00:00,Victoria,19.05,75.76,6.62,1023.1,1.09,0.0,0.0,0.0
41.0,-139.5,2026-08-26 00:00:00,Victoria,19.15,75.42,6.78,1022.6999999999999,1.11,0.0,0.0,0.0
41.0,-139.0,2026-08-26 00:00:00,Victoria,19.24,75.07,6.89,1022.2,1.15,0.0,0.0,0.0
41.0,-138.0,2026-08-26 00:00:00,Victoria,19.3,74.48,6.96,1021.7,1.15,0.0,0.0,0.0
41.0,-137.5,2026-08-26 00:00:00,Victoria,19.31,74.03,6.98,1021.3,1.07,0.0,0.0,0.0
41.0,-137.0,2026-08-26 00:00:00,Victoria,19.24,73.98,6.98,1020.9000000000001,0.99,0.0,0.0,0.0
41.0,-136.0,2026-08-26 00:00:00,Victoria,19.14,74.17,6.95,1020.4000000000001,0.98,0.0,0.0,0.0
41.0,-135.5,2026-08-26 00:00:00,Victoria,19.11,74.63,6.96,1020.0,1.04,0.0,0.0,0.0
41.0,-135.0,2026-08-26 00:00:00,Victoria,19.05,75.47,6.95,1019.7,1.12,0.0,0.0,0.0
41.0,-134.5,2026-08-26 00:00:00,Victoria,18.99,76.55,6.95,1019.3000000000001,1.22,0.0,0.0,0.0
41.0,-134.0,2026-08-26 00:00:00,Victoria,18.89,77.81,6.9,1019.0,1.21,0.0,0.0,0.0
41.0,-133.0,2026-08-26 00:00:00,Victoria,18.77,78.92,6.8,1018.7,1.21,0.0,0.0,0.0
41.0,-132.5,2026-08-26 00:00:00,Victoria,18.63,79.65,6.64,1018.5,0.92,0.0,0.0,0.0
41.0,-132.0,2026-08-26 00:00:00,Victoria,18.59,79.94,6.58,1018.3,0.68,0.0,0.0,0.0
41.0,-131.0,2026-08-26 00:00:00,Victoria,18.56,80.45,6.54,1018.1999999999999,0.52,0.0,0.0,0.0
41.0,-130.5,2026-08-26 00:00:00,Victoria,18.59,80.91,6.48,1018.1,0.49,0.0,0.0,0.0
41.0,-130.0,2026-08-26 00:00:00,Victoria,18.55,81.94,6.3,1018.1,0.48,0.0,0.0,0.0
41.0,-129.5,2026-08-26 00:00:00,Victoria,18.38,83.87,5.87,1018.1,0.34,0.0,0.0,0.0
41.0,-129.0,2026-08-26 00:00:00,Victoria,18.1,87.16,5.43,1018.1,0.26,0.0,0.0,0.0
41.0,-128.0,2026-08-26 00:00:00,Victoria,17.98,89.05,4.9,1018.1999999999999,0.23,0.0,0.0,0.0
41.0,-127.5,2026-08-26 00:00:00,Victoria,17.56,92.1,3.85,1018.1999999999999,0.22,0.0,0.0,0.0
41.0,-127.0,2026-08-26 00:00:00,Victoria,17.2,93.58,3.45,1018.4000000000001,0.25,0.0,0.0,0.0
41.0,-126.0,2026-08-26 00:00:00,Victoria,17.16,93.03,3.38,1018.4000000000001,0.12,0.0,0.0,0.0
41.0,-125.5,2026-08-26 00:00:00,Victoria,16.61,93.2,2.13,1018.3,0.0,0.0,0.0,0.0
41.0,-125.0,2026-08-26 00:00:00,Victoria,15.51,94.88,2.23,1018.5,0.0,0.0,0.0,0.0
41.0,-124.5,2026-08-26 00:00:00,Victoria,15.15,92.09,2.47,1009.0,0.09,0.0,0.0,0.0
41.0,-124.0,2026-08-26 00:00:00,Victoria,18.04,60.93,1.37,938.7,0.0,0.0,0.0,0.0
41.0,-123.0,2026-08-26 00:00:00,Victoria,20.92,36.87,1.11,885.3,0.0,0.0,0.0,0.0
41.0,-122.5,2026-08-26 00:00:00,Victoria,24.43,25.46,1.09,895.1999999999999,0.0,0.0,0.0,0.0
41.0,-122.0,2026-08-26 00:00:00,Victoria,24.69,22.94,1.57,894.0,0.0,0.0,0.0,0.0
41.0,-121.0,2026-08-26 00:00:00,Victoria,22.2,26.08,2.14,856.1,0.0,0.0,0.0,0.0
41.0,-120.5,2026-08-26 00:00:00,Victoria,22.07,27.6,2.53,834.0,0.0,0.0,0.0,0.0
41.0,-120.0,2026-08-26 00:00:00,Victoria,23.64,25.54,3.59,833.7,0.0,0.0,0.0,0.0
41.0,-119.5,2026-08-26 00:00:00,Victoria,25.58,24.0,3.27,843.3,0.0,0.0,0.0,0.0
41.0,-119.0,2026-08-26 00:00:00,Victoria,27.5,21.27,2.78,859.5,0.0,0.0,0.0,0.0
41.0,-118.0,2026-08-26 00:00:00,Victoria,27.79,22.28,2.3,856.8000000000001,0.0,0.0,0.0,0.0
41.0,-117.5,2026-08-26 00:00:00,Victoria,27.21,23.25,2.16,849.4,0.0,0.0,0.0,0.0
41.0,-117.0,2026-08-26 00:00:00,Victoria,26.23,26.66,2.47,841.8000000000001,0.08,0.0,0.0,0.0
41.0,-116.0,2026-08-26 00:00:00,Victoria,24.59,31.05,2.68,822.9000000000001,0.23,0.0,0.0,0.0
41.0,-115.5,2026-08-26 00:00:00,Kelowna,24.21,32.66,2.66,814.2,0.48,0.0,0.0,0.0
41.0,-115.0,2026-08-26 00:00:00,Kelowna,24.69,33.81,2.15,813.5,1.2,0.0,0.0,0.0
41.0,-114.5,2026-08-26 00:00:00,Kelowna,26.4,33.74,1.7,831.5,1.62,0.0,0.0,0.0
41.0,-114.0,2026-08-26 00:00:00,Kelowna,28.08,34.01,1.71,860.1999999999999,1.44,0.0,0.0,0.0
41.0,-113.0,2026-08-26 00:00:00,Kelowna,29.14,33.12,1.58,871.7,1.53,0.0,0.0,0.0
41.0,-112.5,2026-08-26 00:00:00,Calgary,29.01,31.44,1.58,861.5,1.66,0.0,0.0,0.0
41.0,-112.0,2026-08-26 00:00:00,Calgary,26.38,28.83,1.47,829.5,0.63,0.0,0.0,0.0
41.0,-111.0,2026-08-26 00:00:00,Calgary,22.3,30.63,1.98,781.9,0.43,0.0,0.0,0.0
41.0,-110.5,2026-08-26 00:00:00,Regina,18.64,37.02,1.14,753.1,0.62,0.0,0.0,0.0
41.0,-110.0,2026-08-26 00:00:00,Regina,19.41,36.26,1.25,764.2,0.94,0.0,0.0,0.0
41.0,-109.5,2026-08-26 00:00:00,Regina,21.26,36.04,1.46,783.0,0.86,0.0,0.0,0.0
41.0,-109.0,2026-08-26 00:00:00,Regina,22.85,32.78,1.53,794.9,0.72,0.0,0.0,0.0
41.0,-108.0,2026-08-26 00:00:00,Regina,23.7,29.05,1.79,800.3,0.64,0.0,0.0,0.0
41.0,-107.5,2026-08-26 00:00:00,Regina,22.15,29.02,2.26,785.1999999999999,0.1,0.0,0.0,0.0
41.0,-107.0,2026-08-26 00:00:00,Regina,19.13,33.38,1.99,759.7,0.11,0.0,0.0,0.0
41.0,-106.0,2026-08-26 00:00:00,Regina,17.58,38.8,1.93,749.7,0.49,0.0,0.0,0.0
