lat,lon,in_canada,historical_fire,hist_fire_any_prior,hist_fire_count_prior_20y_log1p,years_since_last_fire
41.0,-81.5,False,0,0,0.0,0.0
41.0,-81.0,False,0,0,0.0,0.0
41.0,-80.5,False,0,0,0.0,0.0
41.0,-80.0,False,0,0,0.0,0.0
41.0,-79.5,False,0,0,0.0,0.0
41.0,-79.0,False,0,0,0.0,0.0
41.0,-78.5,False,0,0,0.0,0.0
41.0,-78.0,False,0,0,0.0,0.0
41.0,-77.5,False,0,0,0.0,0.0
41.0,-77.0,False,0,0,0.0,0.0
41.0,-76.5,False,0,0,0.0,0.0
41.0,-76.0,False,0,0,0.0,0.0
41.0,-75.5,False,0,0,0.0,0.0
41.0,-75.0,False,0,0,0.0,0.0
41.0,-74.5,False,0,0,0.0,0.0
41.0,-74.0,False,0,0,0.0,0.0
41.0,-73.5,False,0,0,0.0,0.0
41.0,-73.0,False,0,0,0.0,0.0
41.0,-72.5,False,0,0,0.0,0.0
41.0,-72.0,False,0,0,0.0,0.0
41.0,-71.5,False,0,0,0.0,0.0
41.0,-71.0,False,0,0,0.0,0.0
41.0,-70.5,False,0,0,0.0,0.0
41.0,-70.0,False,0,0,0.0,0.0
41.0,-69.5,False,0,0,0.0,0.0
41.0,-69.0,False,0,0,0.0,0.0
41.0,-68.5,False,0,0,0.0,0.0
41.0,-68.0,False,0,0,0.0,0.0
41.0,-67.5,False,0,0,0.0,0.0
41.0,-67.0,False,0,0,0.0,0.0
41.0,-66.5,False,0,0,0.0,0.0
41.0,-66.0,False,0,0,0.0,0.0
41.0,-65.5,False,0,0,0.0,0.0
41.0,-65.0,False,0,0,0.0,0.0
41.0,-64.5,False,0,0,0.0,0.0
41.0,-64.0,False,0,0,0.0,0.0
41.0,-63.5,False,0,0,0.0,0.0
41.0,-63.0,False,0,0,0.0,0.0
41.0,-62.5,False,0,0,0.0,0.0
41.0,-62.0,False,0,0,0.0,0.0
41.0,-61.5,False,0,0,0.0,0.0
41.0,-61.0,False,0,0,0.0,0.0
41.0,-60.5,False,0,0,0.0,0.0
41.0,-60.0,False,0,0,0.0,0.0
41.0,-59.5,False,0,0,0.0,0.0
41.0,-59.0,False,0,0,0.0,0.0
41.0,-58.5,False,0,0,0.0,0.0
41.0,-58.0,False,0,0,0.0,0.0
41.0,-57.5,False,0,0,0.0,0.0
41.0,-57.0,False,0,0,0.0,0.0
41.0,-56.5,False,0,0,0.0,0.0
41.0,-56.0,False,0,0,0.0,0.0
41.0,-55.5,False,0,0,0.0,0.0
41.0,-55.0,False,0,0,0.0,0.0
41.0,-54.5,False,0,0,0.0,0.0
41.0,-54.0,False,0,0,0.0,0.0
41.0,-53.5,False,0,0,0.0,0.0
41.0,-53.0,False,0,0,0.0,0.0
41.0,-52.5,False,0,0,0.0,0.0
41.5,-141.0,False,0,0,0.0,0.0
41.5,-140.5,False,0,0,0.0,0.0
41.5,-140.0,False,0,0,0.0,0.0
41.5,-139.5,False,0,0,0.0,0.0
41.5,-139.0,False,0,0,0.0,0.0
41.5,-138.5,False,0,0,0.0,0.0
41.5,-138.0,False,0,0,0.0,0.0
41.5,-137.5,False,0,0,0.0,0.0
41.5,-137.0,False,0,0,0.0,0.0
41.5,-136.5,False,0,0,0.0,0.0
41.5,-136.0,False,0,0,0.0,0.0
41.5,-135.5,False,0,0,0.0,0.0
41.5,-135.0,False,0,0,0.0,0.0
41.5,-134.5,False,0,0,0.0,0.0
41.5,-134.0,False,0,0,0.0,0.0
41.5,-133.5,False,0,0,0.0,0.0
41.5,-133.0,False,0,0,0.0,0.0
41.5,-132.5,False,0,0,0.0,0.0
41.5,-132.0,False,0,0,0.0,0.0
41.5,-131.5,False,0,0,0.0,0.0
41.5,-131.0,False,0,0,0.0,0.0
41.5,-130.5,False,0,0,0.0,0.0
41.5,-130.0,False,0,0,0.0,0.0
41.5,-129.5,False,0,0,0.0,0.0
41.5,-129.0,False,0,0,0.0,0.0
41.5,-128.5,False,0,0,0.0,0.0
41.5,-128.0,False,0,0,0.0,0.0
41.5,-127.5,False,0,0,0.0,0.0
41.5,-127.0,False,0,0,0.0,0.0
41.5,-126.5,False,0,0,0.0,0.0
41.5,-126.0,False,0,0,0.0,0.0
41.5,-125.5,False,0,0,0.0,0.0
41.5,-125.0,False,0,0,0.0,0.0
41.5,-124.5,False,0,0,0.0,0.0
41.5,-124.0,False,0,0,0.0,0.0
41.5,-123.5,False,0,0,0.0,0.0
41.5,-123.0,False,0,0,0.0,0.0
41.5,-122.5,False,0,0,0.0,0.0
41.5,-122.0,False,0,0,0.0,0.0
41.5,-121.5,False,0,0,0.0,0.0
41.5,-121.0,False,0,0,0.0,0.0
41.5,-120.5,False,0,0,0.0,0.0
41.5,-120.0,False,0,0,0.0,0.0
41.5,-119.5,False,0,0,0.0,0.0
41.5,-119.0,False,0,0,0.0,0.0
41.5,-118.5,False,0,0,0.0,0.0
41.5,-118.0,False,0,0,0.0,0.0
41.5,-117.5,False,0,0,0.0,0.0
41.5,-117.0,False,0,0,0.0,0.0
41.5,-116.5,False,0,0,0.0,0.0
41.5,-116.0,False,0,0,0.0,0.0
41.5,-115.5,False,0,0,0.0,0.0
41.5,-115.0,False,0,0,0.0,0.0
41.5,-114.5,False,0,0,0.0,0.0
41.5,-114.0,False,0,0,0.0,0.0
41.5,-113.5,False,0,0,0.0,0.0
41.5,-113.0,False,0,0,0.0,0.0
41.5,-112.5,False,0,0,0.0,0.0
41.5,-112.0,False,0,0,0.0,0.0
41.5,-111.5,False,0,0,0.0,0.0
41.5,-111.0,False,0,0,0.0,0.0
41.5,-110.5,False,0,0,0.0,0.0
41.5,-110.0,False,0,0,0.0,0.0
41.5,-109.5,False,0,0,0.0,0.0
41.5,-109.0,False,0,0,0.0,0.0
41.5,-108.5,False,0,0,0.0,0.0
41.5,-108.0,False,0,0,0.0,0.0
41.5,-107.5,False,0,0,0.0,0.0
41.5,-107.0,False,0,0,0.0,0.0
41.5,-106.5,False,0,0,0.0,0.0
41.5,-106.0,False,0,0,0.0,0.0
41.5,-105.5,False,0,0,0.0,0.0
41.5,-105.0,False,0,0,0.0,0.0
41.5,-104.5,False,0,0,0.0,0.0
41.5,-104.0,False,0,0,0.0,0.0
41.5,-103.5,False,0,0,0.0,0.0
41.5,-103.0,False,0,0,0.0,0.0
41.5,-102.5,False,0,0,0.0,0.0
41.5,-102.0,False,0,0,0.0,0.0
41.5,-101.5,False,0,0,0.0,0.0
41.5,-101.0,False,0,0,0.0,0.0
41.5,-100.5,False,0,0,0.0,0.0
41.5,-100.0,False,0,0,0.0,0.0
41.5,-99.5,False,0,0,0.0,0.0
41.5,-99.0,False,0,0,0.0,0.0
41.5,-98.5,False,0,0,0.0,0.0
41.5,-98.0,False,0,0,0.0,0.0
41.5,-97.5,False,0,0,0.0,0.0
41.5,-97.0,False,0,0,0.0,0.0
41.5,-96.5,False,0,0,0.0,0.0
41.5,-96.0,False,0,0,0.0,0.0
41.5,-95.5,False,0,0,0.0,0.0
41.5,-95.0,False,0,0,0.0,0.0
41.5,-94.5,False,0,0,0.0,0.0
41.5,-94.0,False,0,0,0.0,0.0
41.5,-93.5,False,0,0,0.0,0.0
41.5,-93.0,False,0,0,0.0,0.0
