cell_id,lat,lon,rep_date,agency,dist_km
54.5000_-128.5000,54.33665085,-128.64622498,2026-09-25T21:48:00,BC,20.153111326235333
54.5000_-128.5000,54.33715057,-128.63937378,2026-09-25T21:48:00,BC,19.90569035506056
54.5000_-128.5000,54.33301163,-128.62393188,2026-09-25T21:48:00,BC,19.90064138552652
51.5000_-108.5000,51.27471924,-108.43916321,2026-09-25T22:05:00,SK,25.20127637368617
52.0000_-109.5000,52.1729393,-109.36746979,2026-09-25T22:08:00,SK,21.04915839444818
52.0000_-109.5000,52.16419983,-109.36344147,2026-09-25T22:08:00,SK,20.307243568064028
52.0000_-109.5000,52.16669846,-109.34877014,2026-09-25T22:08:00,SK,21.019201519449613
52.0000_-109.5000,52.1554718,-109.35939789,2026-09-25T22:08:00,SK,19.589902932088503
52.0000_-109.5000,52.15797043,-109.34472656,2026-09-25T22:08:00,SK,20.32753749016351
52.0000_-109.5000,52.14673996,-109.35536957,2026-09-25T22:08:00,SK,18.897286719582052
52.0000_-109.5000,52.14925003,-109.34069824,2026-09-25T22:08:00,SK,19.66247578007901
43.5000_-79.0000,43.31632996,-78.74385071,2026-09-26T06:37:00,NY,29.84220958495459
43.5000_-79.5000,43.59732819,-79.68871307,2026-09-26T07:33:00,ON,19.157328322073027
43.0000_-82.5000,42.77088928,-82.5008316,2026-09-26T07:35:00,MI,26.170977333028826
42.0000_-83.0000,42.09014893,-83.42134857,2026-09-26T07:35:00,MI,37.48520060059198
61.5000_-121.5000,61.58485031,-121.51698303,2026-09-26T09:56:00,NT,9.218476362472073
54.5000_-128.5000,54.33214951,-128.64654541,2026-09-26T09:58:00,BC,20.60039579732099
54.5000_-128.5000,54.33692932,-128.64654541,2026-09-26T09:58:00,BC,20.1355756072519
54.5000_-128.5000,54.33512115,-128.64671326,2026-09-26T10:56:00,BC,20.3160105493326
61.5000_-123.0000,61.32284927,-122.78610229,2026-09-26T11:38:00,NT,22.137624505783027
43.0000_-81.0000,43.17926025,-81.06939697,2026-09-26T18:04:00,ON,21.262968940267605
44.0000_-80.5000,43.82357025,-80.60262299,2026-09-26T19:00:00,ON,21.751942720279263
53.5000_-105.5000,53.42718887,-105.63117981,2026-09-26T19:47:00,SK,11.721093210606497
55.0000_-127.0000,54.86233902,-127.13950348,2026-09-26T20:45:00,BC,17.41026356022198
