cell_id,lat,lon,rep_date,agency,dist_km
50.0000_-105.0000,50.13127899,-105.23358154,2026-09-22T16:24:00,SK,22.113050042036196
44.5000_-76.0000,44.25038147,-75.9200592,2026-09-22T16:54:00,NY,29.04365595821489
51.5000_-100.5000,51.36486435,-100.28408051,2026-09-22T17:19:48,MB,21.06366724836219
51.5000_-100.5000,51.34745026,-100.29147339,2026-09-22T17:19:49,MB,22.131580097163678
51.5000_-100.5000,51.3534584,-100.27430725,2026-09-22T17:19:49,MB,22.435364376792435
51.5000_-100.5000,51.35680389,-100.28797913,2026-09-22T17:19:49,MB,21.5194556508398
44.5000_-76.0000,44.24932098,-75.91964722,2026-09-22T17:39:00,NY,29.168450831941957
44.0000_-80.5000,43.99784088,-80.36985779,2026-09-22T17:39:00,ON,10.675180752982714
43.5000_-81.5000,43.56285858,-81.55251312,2026-09-22T17:39:00,ON,8.375525361899573
45.5000_-74.5000,45.2892189,-74.52348328,2026-09-22T17:39:00,ON,23.86340632267547
44.5000_-80.0000,44.25037003,-79.98235321,2026-09-22T17:39:00,ON,28.344187715943963
46.0000_-66.5000,45.81150818,-66.36628723,2026-09-22T17:39:00,NB,23.686491584380416
45.0000_-72.5000,45.23035049,-72.67195892,2026-09-22T17:39:00,QC,29.44464724433798
61.5000_-121.5000,61.5638504,-121.37799072,2026-09-22T18:00:00,NT,9.347270685525608
61.5000_-123.0000,61.40950012,-122.88041687,2026-09-22T18:00:00,NT,11.581292132069622
48.5000_-123.5000,48.48011017,-123.73597717,2026-09-22T18:04:00,BC,17.617407429169404
48.5000_-124.0000,48.48585892,-123.76199341,2026-09-22T18:04:00,BC,17.696849584306356
48.5000_-124.0000,48.48328018,-123.76062012,2026-09-22T18:23:39,BC,17.826425218967604
48.5000_-124.0000,48.49274826,-123.77547455,2026-09-22T18:23:39,BC,16.6464331413301
48.5000_-123.5000,48.47399139,-123.74639893,2026-09-22T18:23:39,BC,18.47930882758918
48.5000_-124.0000,48.47126389,-123.75792694,2026-09-22T18:23:39,BC,18.214461734861903
48.5000_-123.5000,48.4792366,-123.73786163,2026-09-22T18:23:39,BC,17.76847050385586
48.5000_-124.0000,48.48864365,-123.75258636,2026-09-22T18:23:39,BC,18.36628109684387
48.5000_-124.0000,48.50097656,-123.75653076,2026-09-22T18:23:39,BC,18.02823132102879
44.5000_-76.0000,44.2478714,-75.91752625,2026-09-22T18:34:00,NY,29.36771850499682
44.0000_-81.0000,44.0968399,-80.78833008,2026-09-22T18:34:00,ON,20.53347311638666
43.0000_-82.0000,43.15604019,-81.94399261,2026-09-22T18:34:00,ON,18.412968120946655
44.0000_-80.0000,44.24695969,-79.97991943,2026-09-22T18:34:00,ON,28.086597920596933
46.0000_-70.5000,46.02519989,-70.74648285,2026-09-22T18:34:00,QC,19.537578467531876
49.0000_-96.0000,48.74319077,-95.91359711,2026-09-22T18:36:00,MN,29.268612378581437
51.5000_-100.5000,51.36660004,-100.28167725,2026-09-22T18:38:00,MB,21.046550722579315
51.5000_-100.5000,51.36217117,-100.27854919,2026-09-22T18:38:00,MB,21.54377887790363
51.5000_-97.5000,51.36951065,-97.61234283,2026-09-22T18:38:00,MB,16.342487861427355
61.5000_-123.0000,61.40681839,-122.88361359,2026-09-22T18:43:00,NT,11.74184249858302
61.5000_-123.0000,61.39970016,-122.91792297,2026-09-22T18:43:00,NT,11.650783140726094
61.5000_-123.0000,61.39575958,-122.92627716,2026-09-22T18:43:00,NT,11.903076099316813
