cell_id,lat,lon,rep_date,agency,dist_km
56.0000_-105.5000,55.78483963,-105.4373703,2026-09-23T08:28:00,SK,23.764503441378345
51.5000_-100.5000,51.36500168,-100.28016663,2026-09-23T08:30:00,MB,21.24455059549533
51.5000_-100.5000,51.36954117,-100.28659058,2026-09-23T08:30:00,MB,20.577170445217483
51.0000_-99.5000,50.95874023,-99.66442108,2026-09-23T08:30:00,MB,12.336476836766439
51.5000_-100.5000,51.36878967,-100.27916718,2026-09-23T08:30:00,MB,21.00319219547144
43.5000_-82.0000,43.64746094,-82.6472702,2026-09-23T08:33:00,MI,56.139875711450344
49.0000_-103.5000,48.80738068,-103.32726288,2026-09-23T08:33:00,ND,24.89349221757332
61.5000_-121.5000,61.55970001,-121.40923309,2026-09-23T09:11:00,NT,7.978410785260702
61.5000_-121.5000,61.56531143,-121.37641144,2026-09-23T09:11:00,NT,9.518969478000468
61.5000_-121.5000,61.58282852,-121.51555634,2026-09-23T09:11:00,NT,8.993966556240558
61.5000_-121.5000,61.55960846,-121.37638092,2026-09-23T09:11:00,NT,9.072245314336175
61.5000_-121.5000,61.58401871,-121.52498627,2026-09-23T09:11:00,NT,9.177832535560905
56.0000_-105.5000,55.78110123,-105.43981171,2026-09-23T09:13:00,SK,24.143576344036923
56.0000_-105.5000,55.78435135,-105.43830872,2026-09-23T09:13:00,SK,23.807855689015152
56.0000_-105.5000,55.79262161,-105.44738007,2026-09-23T09:13:00,SK,22.832974487055154
51.0000_-99.5000,50.95883179,-99.66072083,2026-09-23T09:13:00,MB,12.093288467487337
51.5000_-100.5000,51.36672974,-100.28559875,2026-09-23T09:13:00,MB,20.843988648715015
51.5000_-100.5000,51.36738968,-100.27793121,2026-09-23T09:13:00,MB,21.171604945641718
53.0000_-109.0000,53.12166977,-108.75293732,2026-09-23T09:13:00,SK,21.099554565345272
55.5000_-103.0000,55.56875992,-103.08624268,2026-09-23T09:13:00,SK,9.204758589010584
49.5000_-116.0000,49.59534073,-115.77906799,2026-09-23T09:15:00,BC,19.144785651490142
61.5000_-121.5000,61.56309891,-121.37304688,2026-09-23T10:09:00,NT,9.462444486063822
62.0000_-120.5000,61.91469955,-120.70163727,2026-09-23T10:09:00,NT,13.79991980280891
61.5000_-121.5000,61.58520889,-121.52295685,2026-09-23T10:09:00,NT,9.29134825896329
49.0000_-121.0000,48.78010941,-121.13478088,2026-09-23T10:11:00,WA,26.386725727737623
49.0000_-121.0000,48.79412842,-121.11399078,2026-09-23T10:11:00,WA,24.382204415148266
49.0000_-121.0000,48.80784988,-121.13655853,2026-09-23T10:11:00,WA,23.606397697503283
49.0000_-121.0000,48.80706024,-121.13137054,2026-09-23T10:11:00,WA,23.527688107601673
49.0000_-121.0000,48.92581177,-121.0337677,2026-09-23T10:11:00,WA,8.614208874851643
49.0000_-121.0000,49.0905304,-121.08345032,2026-09-23T10:11:00,BC,11.770008634773856
49.0000_-121.0000,49.08047104,-120.99358368,2026-09-23T10:11:00,BC,8.96011810378175
49.0000_-121.0000,48.7808609,-121.13980865,2026-09-23T10:11:00,WA,26.450001861766204
49.0000_-121.0000,48.78337097,-121.1337204,2026-09-23T10:11:00,WA,26.02094575975607
49.5000_-121.0000,49.6787796,-121.22000122,2026-09-23T10:11:00,BC,25.40681393095258
49.5000_-121.0000,49.67552185,-121.22128296,2026-09-23T10:11:00,BC,25.184527880049213
