cell_id,lat,lon,rep_date,agency,dist_km
49.0000_-103.5000,48.57159042,-103.36813354,2026-09-25T07:54:00,ND,48.65772450004062
49.0000_-103.5000,48.63616943,-103.31886292,2026-09-25T07:54:00,ND,42.62106792567235
49.0000_-106.5000,49.21482849,-106.5532074,2026-09-25T08:37:00,SK,24.19522874413226
49.0000_-103.0000,48.61790848,-102.79026794,2026-09-25T08:37:00,ND,45.23091997179452
49.0000_-100.0000,48.83422852,-99.75121307,2026-09-25T08:37:00,ND,25.93797167966936
51.5000_-99.0000,51.41397858,-98.76605225,2026-09-25T08:37:00,MB,18.702133386901636
61.5000_-121.5000,61.58584976,-121.52124786,2026-09-25T09:32:00,NT,9.349337823182049
49.0000_-106.5000,49.21472931,-106.54942322,2026-09-25T09:34:00,SK,24.14154353900459
49.0000_-106.5000,49.21585083,-106.55518341,2026-09-25T09:34:00,SK,24.330815033005322
61.5000_-123.0000,61.39245987,-122.92124939,2026-09-25T10:15:00,NT,12.325387983430877
61.5000_-121.5000,61.58555984,-121.52143097,2026-09-25T10:15:00,NT,9.3193181577502
49.0000_-106.5000,49.21297073,-106.55162811,2026-09-25T10:17:00,SK,23.973115812405492
56.5000_-130.5000,56.64419174,-130.47396851,2026-09-25T10:17:00,BC,15.773371483720497
56.5000_-130.5000,56.64525986,-130.47528076,2026-09-25T11:13:00,BC,15.881483267758092
61.5000_-121.5000,61.58557129,-121.51631927,2026-09-25T11:13:00,NT,9.292930364846097
49.0000_-106.5000,49.21025085,-106.5512619,2026-09-25T16:43:00,SK,23.670458420103742
45.0000_-73.0000,44.48374939,-73.13696289,2026-09-25T17:37:00,VT,59.4774938550702
45.0000_-73.5000,44.90042114,-73.70507812,2026-09-25T17:37:00,NY,19.952108166126205
45.0000_-74.5000,45.14527893,-74.2519989,2026-09-25T17:37:00,QC,25.771958377252172
44.0000_-80.5000,43.94200134,-80.39388275,2026-09-25T17:37:00,ON,10.919896843505029
53.0000_-132.0000,53.11209106,-131.93463135,2026-09-25T18:21:00,BC,13.04020180517625
43.0000_-81.0000,43.20510864,-80.96128845,2026-09-25T18:21:00,ON,23.62635590404824
44.0000_-80.5000,43.94166183,-80.39520264,2026-09-25T18:21:00,ON,10.857267729282666
49.5000_-77.0000,49.58171082,-77.09990692,2026-09-25T18:24:00,QC,11.589659395771342
49.5000_-77.0000,49.58069992,-77.09963226,2026-09-25T19:19:00,QC,11.48970441214242
54.5000_-128.5000,54.33467102,-128.63224792,2026-09-25T19:22:19,BC,19.952508987615413
54.5000_-128.5000,54.3375206,-128.6469574,2026-09-25T19:22:19,BC,20.090520586265814
54.5000_-128.5000,54.33179855,-128.61746216,2026-09-25T19:22:19,BC,19.863231242846794
53.0000_-132.0000,53.12075806,-131.93078613,2026-09-25T19:22:50,BC,14.02186142705994
53.0000_-132.0000,53.112957,-131.93533325,2026-09-25T19:22:51,BC,13.114671345333736
53.0000_-132.0000,53.09896088,-131.92434692,2026-09-25T19:22:51,BC,11.959037104205581
53.0000_-132.0000,53.10860825,-131.92132568,2026-09-25T19:22:51,BC,13.006618793514034
52.5000_-104.0000,52.42842102,-104.10310364,2026-09-25T20:06:00,SK,10.481655708895653
52.5000_-104.0000,52.42449951,-104.10214233,2026-09-25T20:06:00,SK,10.768130174575642
54.5000_-128.5000,54.33378983,-128.6229248,2026-09-25T20:08:00,BC,19.796984727899865
54.5000_-128.5000,54.33565903,-128.64346313,2026-09-25T20:08:00,BC,20.168877829693873
54.5000_-128.5000,54.33869934,-128.64535522,2026-09-25T20:08:00,BC,19.92875061756574
49.5000_-77.0000,49.58364868,-77.10224915,2026-09-25T20:27:00,QC,11.863165985366878
52.0000_-106.5000,51.8365593,-106.61550903,2026-09-25T21:01:00,SK,19.641960776278033
52.0000_-106.5000,51.83047867,-106.61549377,2026-09-25T21:01:00,SK,20.25730048874444
53.0000_-132.0000,53.11666107,-131.92933655,2026-09-25T21:04:00,BC,13.630319190264448
54.5000_-128.5000,54.33366013,-128.62461853,2026-09-25T21:04:00,BC,19.853026017304686
54.5000_-128.5000,54.33687973,-128.64634705,2026-09-25T21:04:00,BC,20.134514978684013
54.5000_-128.5000,54.33362961,-128.64439392,2026-09-25T21:04:00,BC,20.393818644272994
54.5000_-128.5000,54.33470917,-128.63850403,2026-09-25T21:04:00,BC,20.12070745552473
54.5000_-128.5000,54.33665085,-128.64622498,2026-09-25T21:48:00,BC,20.153111326235333
54.5000_-128.5000,54.33715057,-128.63937378,2026-09-25T21:48:00,BC,19.90569035506056
54.5000_-128.5000,54.33301163,-128.62393188,2026-09-25T21:48:00,BC,19.90064138552652
51.5000_-108.5000,51.27471924,-108.43916321,2026-09-25T22:05:00,SK,25.20127637368617
52.0000_-109.5000,52.1729393,-109.36746979,2026-09-25T22:08:00,SK,21.04915839444818
52.0000_-109.5000,52.16419983,-109.36344147,2026-09-25T22:08:00,SK,20.307243568064028
52.0000_-109.5000,52.16669846,-109.34877014,2026-09-25T22:08:00,SK,21.019201519449613
52.0000_-109.5000,52.1554718,-109.35939789,2026-09-25T22:08:00,SK,19.589902932088503
52.0000_-109.5000,52.15797043,-109.34472656,2026-09-25T22:08:00,SK,20.32753749016351
52.0000_-109.5000,52.14673996,-109.35536957,2026-09-25T22:08:00,SK,18.897286719582052
52.0000_-109.5000,52.14925003,-109.34069824,2026-09-25T22:08:00,SK,19.66247578007901
