cell_id,lat,lon,rep_date,agency,dist_km
53.5000_-115.5000,53.51876068,-115.55423737,2026-09-15T09:20:00,AB,4.09771555916008
55.0000_-118.5000,54.87329865,-118.47736359,2026-09-15T09:20:00,AB,13.912925614223633
55.0000_-118.5000,54.96701813,-118.43541718,2026-09-15T09:20:00,AB,5.425117707992041
55.0000_-118.5000,54.97142029,-118.43238068,2026-09-15T09:20:00,AB,5.2707245443306405
54.5000_-117.5000,54.44530869,-117.48404694,2026-09-15T09:20:00,AB,6.066366689608142
55.0000_-118.5000,54.94462967,-118.27993011,2026-09-15T09:20:00,AB,15.091809100308552
55.0000_-118.5000,54.94548035,-118.27252197,2026-09-15T09:20:00,AB,15.483251765614648
53.5000_-115.5000,53.51876068,-115.55423737,2026-09-15T09:20:00,AB,4.09771555916008
55.0000_-118.5000,54.87329865,-118.47736359,2026-09-15T09:20:00,AB,13.912925614223633
55.0000_-118.5000,54.96701813,-118.43541718,2026-09-15T09:20:00,AB,5.425117707992041
55.0000_-118.5000,54.97142029,-118.43238068,2026-09-15T09:20:00,AB,5.2707245443306405
55.0000_-118.5000,54.94462967,-118.27993011,2026-09-15T09:20:00,AB,15.091809100308552
55.0000_-118.5000,54.94548035,-118.27252197,2026-09-15T09:20:00,AB,15.483251765614648
54.5000_-117.5000,54.44530869,-117.48404694,2026-09-15T09:20:00,AB,6.066366689608142
53.5000_-115.5000,53.51876068,-115.55423737,2026-09-15T09:20:00,AB,4.09771555916008
55.0000_-118.5000,54.87329865,-118.47736359,2026-09-15T09:20:00,AB,13.912925614223633
55.0000_-118.5000,54.96701813,-118.43541718,2026-09-15T09:20:00,AB,5.425117707992041
55.0000_-118.5000,54.97142029,-118.43238068,2026-09-15T09:20:00,AB,5.2707245443306405
54.5000_-117.5000,54.44530869,-117.48404694,2026-09-15T09:20:00,AB,6.066366689608142
55.0000_-118.5000,54.94462967,-118.27993011,2026-09-15T09:20:00,AB,15.091809100308552
55.0000_-118.5000,54.94548035,-118.27252197,2026-09-15T09:20:00,AB,15.483251765614648
55.0000_-118.5000,54.8746109,-118.47276306,2026-09-15T10:04:00,AB,13.80323391222792
55.0000_-118.5000,54.94438934,-118.27007294,2026-09-15T10:04:00,AB,15.671401843714442
55.0000_-118.5000,54.94527817,-118.27597046,2026-09-15T10:04:00,AB,15.292130826829016
53.5000_-115.5000,53.51739883,-115.55357361,2026-09-15T10:04:00,AB,3.9867753409457203
55.0000_-118.5000,54.87136078,-118.47419739,2026-09-15T10:04:00,AB,14.145005173017607
55.5000_-114.5000,55.2674408,-114.60075378,2026-09-15T10:04:00,AB,26.137711856010416
54.5000_-117.5000,54.44577026,-117.47969055,2026-09-15T10:04:00,AB,6.069624055659301
55.0000_-118.5000,54.87456894,-118.4686203,2026-09-15T11:00:00,AB,13.842518685834202
54.5000_-118.0000,54.58081055,-118.19590759,2026-09-15T11:00:00,AB,15.270063650725719
54.5000_-117.5000,54.44628906,-117.48203278,2026-09-15T11:00:00,AB,5.983892694787734
55.0000_-118.5000,54.94445038,-118.27175903,2026-09-15T11:00:00,AB,15.571188684445202
54.0000_-130.5000,54.22436905,-130.32347107,2026-09-15T11:02:00,BC,27.054478045159122
55.0000_-118.5000,54.87005997,-118.47242737,2026-09-15T11:45:00,AB,14.299265512554458
55.0000_-118.5000,54.9425087,-118.27288055,2026-09-15T11:45:00,AB,15.59087202366009
55.0000_-118.5000,54.94544983,-118.27279663,2026-09-15T11:45:00,AB,15.468612995532515
58.0000_-68.5000,58.15341187,-68.36089325,2026-09-15T16:33:00,QC,18.477549869711638
51.0000_-108.5000,51.14723969,-108.71975708,2026-09-15T16:48:00,SK,22.31510378511189
51.0000_-108.5000,51.14466858,-108.7046814,2026-09-15T16:48:00,SK,21.397876131002185
46.5000_-62.0000,46.43875885,-62.04389954,2026-09-15T17:26:00,PE,7.677205730738415
46.5000_-62.0000,46.43923187,-62.04666901,2026-09-15T18:11:00,PE,7.7280058294334255
57.0000_-131.0000,57.20167923,-130.86010742,2026-09-15T18:24:00,BC,23.44234387146572
54.5000_-118.0000,54.57548904,-118.19158936,2026-09-15T19:10:00,AB,14.713654559825178
55.0000_-118.5000,54.87205124,-118.47080231,2026-09-15T19:10:00,AB,14.096295136502983
55.0000_-118.5000,54.87271881,-118.47521973,2026-09-15T19:53:00,AB,13.990320029991906
53.5000_-115.5000,53.51749039,-115.55097198,2026-09-15T19:53:00,AB,3.8433373770367103
58.0000_-116.5000,57.76922989,-116.66309357,2026-09-15T19:55:00,AB,26.778482063756304
53.0000_-115.0000,53.10882187,-114.91355896,2026-09-15T20:49:00,AB,13.241596705224692
55.0000_-118.5000,54.96794891,-118.43341827,2026-09-15T20:49:00,AB,5.453781371604254
55.0000_-118.5000,54.87390137,-118.46891785,2026-09-15T20:49:00,AB,13.912069326460744
53.5000_-115.5000,53.51396942,-115.55446625,2026-09-15T20:49:00,AB,3.8748732528046266
58.0000_-116.5000,57.76572037,-116.65968323,2026-09-15T20:51:00,AB,27.067792481224497
58.0000_-116.5000,57.76948929,-116.6608963,2026-09-15T20:51:00,AB,26.70754563617488
53.5000_-115.5000,53.51408005,-115.55219269,2026-09-15T21:33:00,AB,3.7438292576971066
54.5000_-118.0000,54.5802002,-118.19445801,2026-09-15T21:36:00,AB,15.156377953662036
