cell_id,lat,lon,rep_date,agency,dist_km
49.0000_-106.5000,49.21025085,-106.5512619,2026-09-25T16:43:00,SK,23.670458420103742
45.0000_-73.0000,44.48374939,-73.13696289,2026-09-25T17:37:00,VT,59.4774938550702
45.0000_-73.5000,44.90042114,-73.70507812,2026-09-25T17:37:00,NY,19.952108166126205
45.0000_-74.5000,45.14527893,-74.2519989,2026-09-25T17:37:00,QC,25.771958377252172
44.0000_-80.5000,43.94200134,-80.39388275,2026-09-25T17:37:00,ON,10.919896843505029
53.0000_-132.0000,53.11209106,-131.93463135,2026-09-25T18:21:00,BC,13.04020180517625
43.0000_-81.0000,43.20510864,-80.96128845,2026-09-25T18:21:00,ON,23.62635590404824
44.0000_-80.5000,43.94166183,-80.39520264,2026-09-25T18:21:00,ON,10.857267729282666
49.5000_-77.0000,49.58171082,-77.09990692,2026-09-25T18:24:00,QC,11.589659395771342
49.5000_-77.0000,49.58069992,-77.09963226,2026-09-25T19:19:00,QC,11.48970441214242
54.5000_-128.5000,54.33467102,-128.63224792,2026-09-25T19:22:19,BC,19.952508987615413
54.5000_-128.5000,54.3375206,-128.6469574,2026-09-25T19:22:19,BC,20.090520586265814
54.5000_-128.5000,54.33179855,-128.61746216,2026-09-25T19:22:19,BC,19.863231242846794
53.0000_-132.0000,53.12075806,-131.93078613,2026-09-25T19:22:50,BC,14.02186142705994
53.0000_-132.0000,53.112957,-131.93533325,2026-09-25T19:22:51,BC,13.114671345333736
53.0000_-132.0000,53.09896088,-131.92434692,2026-09-25T19:22:51,BC,11.959037104205581
53.0000_-132.0000,53.10860825,-131.92132568,2026-09-25T19:22:51,BC,13.006618793514034
52.5000_-104.0000,52.42842102,-104.10310364,2026-09-25T20:06:00,SK,10.481655708895653
52.5000_-104.0000,52.42449951,-104.10214233,2026-09-25T20:06:00,SK,10.768130174575642
54.5000_-128.5000,54.33378983,-128.6229248,2026-09-25T20:08:00,BC,19.796984727899865
54.5000_-128.5000,54.33565903,-128.64346313,2026-09-25T20:08:00,BC,20.168877829693873
54.5000_-128.5000,54.33869934,-128.64535522,2026-09-25T20:08:00,BC,19.92875061756574
49.5000_-77.0000,49.58364868,-77.10224915,2026-09-25T20:27:00,QC,11.863165985366878
52.0000_-106.5000,51.8365593,-106.61550903,2026-09-25T21:01:00,SK,19.641960776278033
52.0000_-106.5000,51.83047867,-106.61549377,2026-09-25T21:01:00,SK,20.25730048874444
53.0000_-132.0000,53.11666107,-131.92933655,2026-09-25T21:04:00,BC,13.630319190264448
54.5000_-128.5000,54.33366013,-128.62461853,2026-09-25T21:04:00,BC,19.853026017304686
54.5000_-128.5000,54.33687973,-128.64634705,2026-09-25T21:04:00,BC,20.134514978684013
54.5000_-128.5000,54.33362961,-128.64439392,2026-09-25T21:04:00,BC,20.393818644272994
54.5000_-128.5000,54.33470917,-128.63850403,2026-09-25T21:04:00,BC,20.12070745552473
54.5000_-128.5000,54.33665085,-128.64622498,2026-09-25T21:48:00,BC,20.153111326235333
54.5000_-128.5000,54.33715057,-128.63937378,2026-09-25T21:48:00,BC,19.90569035506056
54.5000_-128.5000,54.33301163,-128.62393188,2026-09-25T21:48:00,BC,19.90064138552652
51.5000_-108.5000,51.27471924,-108.43916321,2026-09-25T22:05:00,SK,25.20127637368617
52.0000_-109.5000,52.1729393,-109.36746979,2026-09-25T22:08:00,SK,21.04915839444818
52.0000_-109.5000,52.16419983,-109.36344147,2026-09-25T22:08:00,SK,20.307243568064028
52.0000_-109.5000,52.16669846,-109.34877014,2026-09-25T22:08:00,SK,21.019201519449613
52.0000_-109.5000,52.1554718,-109.35939789,2026-09-25T22:08:00,SK,19.589902932088503
52.0000_-109.5000,52.15797043,-109.34472656,2026-09-25T22:08:00,SK,20.32753749016351
52.0000_-109.5000,52.14673996,-109.35536957,2026-09-25T22:08:00,SK,18.897286719582052
52.0000_-109.5000,52.14925003,-109.34069824,2026-09-25T22:08:00,SK,19.66247578007901
43.5000_-79.0000,43.31632996,-78.74385071,2026-09-26T06:37:00,NY,29.84220958495459
43.5000_-79.5000,43.59732819,-79.68871307,2026-09-26T07:33:00,ON,19.157328322073027
43.0000_-82.5000,42.77088928,-82.5008316,2026-09-26T07:35:00,MI,26.170977333028826
42.0000_-83.0000,42.09014893,-83.42134857,2026-09-26T07:35:00,MI,37.48520060059198
61.5000_-121.5000,61.58485031,-121.51698303,2026-09-26T09:56:00,NT,9.218476362472073
54.5000_-128.5000,54.33214951,-128.64654541,2026-09-26T09:59:00,BC,20.60039579732099
54.5000_-128.5000,54.33692932,-128.64654541,2026-09-26T09:59:00,BC,20.1355756072519
54.5000_-128.5000,54.3354187,-128.64611816,2026-09-26T10:55:00,BC,20.26962766063909
