cell_id,lat,lon,rep_date,agency,dist_km
58.0000_-68.5000,58.15341187,-68.36089325,2026-09-15T16:33:00,QC,18.477549869711638
51.0000_-108.5000,51.14723969,-108.71975708,2026-09-15T16:48:00,SK,22.31510378511189
51.0000_-108.5000,51.14466858,-108.7046814,2026-09-15T16:48:00,SK,21.397876131002185
46.5000_-62.0000,46.43875885,-62.04389954,2026-09-15T17:26:00,PE,7.677205730738415
46.5000_-62.0000,46.43923187,-62.04666901,2026-09-15T18:11:00,PE,7.7280058294334255
57.0000_-131.0000,57.20167923,-130.86010742,2026-09-15T18:24:00,BC,23.44234387146572
54.5000_-118.0000,54.57548904,-118.19158936,2026-09-15T19:10:00,AB,14.713654559825178
55.0000_-118.5000,54.87205124,-118.47080231,2026-09-15T19:10:00,AB,14.096295136502983
55.0000_-118.5000,54.87271881,-118.47521973,2026-09-15T19:53:00,AB,13.990320029991906
53.5000_-115.5000,53.51749039,-115.55097198,2026-09-15T19:53:00,AB,3.8433373770367103
58.0000_-116.5000,57.76922989,-116.66309357,2026-09-15T19:55:00,AB,26.778482063756304
53.0000_-115.0000,53.10882187,-114.91355896,2026-09-15T20:49:00,AB,13.241596705224692
55.0000_-118.5000,54.96794891,-118.43341827,2026-09-15T20:49:00,AB,5.453781371604254
55.0000_-118.5000,54.87390137,-118.46891785,2026-09-15T20:49:00,AB,13.912069326460744
53.5000_-115.5000,53.51396942,-115.55446625,2026-09-15T20:49:00,AB,3.8748732528046266
58.0000_-116.5000,57.76572037,-116.65968323,2026-09-15T20:51:00,AB,27.067792481224497
58.0000_-116.5000,57.76948929,-116.6608963,2026-09-15T20:51:00,AB,26.70754563617488
53.5000_-115.5000,53.51408005,-115.55219269,2026-09-15T21:33:00,AB,3.7438292576971066
54.5000_-118.0000,54.5802002,-118.19445801,2026-09-15T21:36:00,AB,15.156377953662036
43.5000_-81.0000,43.52305222,-81.05475616,2026-09-16T02:43:34,ON,5.242547754989396
53.0000_-104.0000,53.13761139,-103.76655579,2026-09-16T03:48:55,SK,21.59318430709874
49.0000_-121.0000,48.85538101,-121.22014618,2026-09-16T05:28:12,WA,22.785591766535838
52.5000_-122.5000,52.64476013,-122.67089844,2026-09-16T05:29:17,BC,19.598565126784
53.5000_-115.5000,53.51874161,-115.56655121,2026-09-16T05:29:39,AB,4.8097920548973905
56.0000_-120.5000,56.00599289,-120.45175934,2026-09-16T05:30:13,BC,3.0172253923507233
47.5000_-68.5000,47.29045105,-68.4076004,2026-09-16T06:25:00,NB,24.478006974213024
49.0000_-102.5000,48.51662064,-102.69075012,2026-09-16T08:05:00,ND,55.60620887638326
57.0000_-115.5000,56.82886887,-115.36785126,2026-09-16T09:00:00,AB,20.20852355685388
55.0000_-118.5000,54.87630081,-118.47145081,2026-09-16T09:02:00,AB,13.630680587443289
53.5000_-115.5000,53.51815033,-115.55296326,2026-09-16T09:02:00,AB,3.9921789066257207
53.5000_-115.5000,53.51831818,-115.55843353,2026-09-16T09:02:00,AB,4.314299199566628
54.5000_-118.0000,54.58163071,-118.20388031,2026-09-16T09:02:00,AB,15.73674885071217
49.0000_-103.5000,48.76525116,-103.27731323,2026-09-16T09:02:00,ND,30.808016865504243
49.0000_-103.5000,48.58922958,-103.40244293,2026-09-16T09:02:00,ND,46.27606514067994
55.0000_-118.5000,54.94974136,-118.27641296,2026-09-16T09:02:00,AB,15.081556715792706
55.0000_-118.5000,54.8744812,-118.47904205,2026-09-16T09:02:00,AB,13.773914294353379
53.5000_-112.5000,53.3678894,-112.66589355,2026-09-16T09:02:00,AB,18.105502600995592
55.0000_-118.5000,54.94736862,-118.28134918,2026-09-16T09:02:00,AB,14.891665937020628
55.0000_-118.5000,54.94733047,-118.27378082,2026-09-16T09:02:00,AB,15.332981638287954
53.5000_-115.5000,53.51560974,-115.55367279,2026-09-16T09:45:00,AB,3.9026552562861276
54.5000_-118.0000,54.57820129,-118.19760132,2026-09-16T09:45:00,AB,15.19605940622857
55.0000_-118.5000,54.87350082,-118.46855164,2026-09-16T09:45:00,AB,13.958642278262635
55.0000_-118.5000,54.96635818,-118.4310379,2026-09-16T09:45:00,AB,5.6801461740999
52.5000_-114.5000,52.53910065,-114.40609741,2026-09-16T09:45:00,AB,7.6237710529406755
53.0000_-115.5000,52.93605042,-115.71417999,2026-09-16T09:45:00,AB,15.837169115163421
54.5000_-117.5000,54.44403076,-117.47799683,2026-09-16T09:45:00,AB,6.278817359966043
55.0000_-118.5000,54.94548035,-118.27171326,2026-09-16T09:45:00,AB,15.53016677902021
55.0000_-118.5000,54.87277985,-118.47244263,2026-09-16T10:41:00,AB,14.004234044747493
54.5000_-118.0000,54.58121109,-118.19109344,2026-09-16T10:41:00,AB,15.04723955685293
55.0000_-118.5000,54.97045135,-118.43331146,2026-09-16T10:41:00,AB,5.287699122809178
55.0000_-118.5000,54.94697952,-118.27227783,2026-09-16T10:41:00,AB,15.434959265683226
53.0000_-115.5000,52.9360199,-115.70847321,2026-09-16T10:42:00,AB,15.500548225860708
49.0000_-121.0000,48.85432053,-121.2186203,2026-09-16T10:43:00,WA,22.790419297893767
