cell_id,lat,lon,rep_date,agency,dist_km
45.5000_-67.5000,45.73234177,-67.70928955,2026-09-23T16:37:00,NB,30.993116587875285
58.5000_-70.0000,58.70767975,-69.93534088,2026-09-23T16:37:00,QC,22.824978511678047
49.0000_-96.0000,48.70608902,-95.89452362,2026-09-23T16:54:28,MN,33.60823211874089
49.0000_-96.0000,48.71009064,-95.90756989,2026-09-23T16:54:28,MN,32.964329018929355
49.0000_-96.0000,48.69652176,-95.89707184,2026-09-23T16:54:28,MN,34.60443199696866
57.5000_-96.5000,57.36952972,-96.30605316,2026-09-23T17:02:00,MB,18.173857616825124
45.0000_-81.5000,44.95429993,-81.25385284,2026-09-23T17:20:00,ON,20.421035618098323
44.5000_-76.0000,44.25070953,-75.92150879,2026-09-23T17:20:00,NY,28.98117401804192
45.5000_-67.5000,45.73355103,-67.70948792,2026-09-23T17:20:00,NB,31.116634518889374
43.5000_-82.0000,43.64873886,-82.64605713,2026-09-23T18:15:00,MI,56.08710197889746
43.5000_-82.0000,43.64535141,-82.64489746,2026-09-23T18:15:00,MI,55.8821250609401
44.5000_-76.0000,44.2467308,-75.91972351,2026-09-23T18:15:00,NY,29.453618097220637
43.0000_-79.0000,43.01478958,-78.45259857,2026-09-23T18:15:00,NY,45.89254104969668
43.0000_-79.0000,43.01409912,-78.45731354,2026-09-23T18:15:00,NY,45.49527086160724
45.5000_-74.5000,45.29579163,-74.52645111,2026-09-23T18:15:00,ON,23.1438099623835
45.5000_-67.5000,45.72824097,-67.70973206,2026-09-23T18:15:00,NB,30.622843419919505
45.5000_-67.5000,45.73242188,-67.70913696,2026-09-23T18:15:00,NB,30.994292004115103
48.5000_-72.0000,48.58906937,-71.7664032,2026-09-23T18:15:00,QC,19.925147514569336
45.0000_-81.5000,44.95558929,-81.25234222,2026-09-23T18:15:00,ON,20.501877774528012
49.0000_-96.0000,48.81203079,-95.77568054,2026-09-23T18:17:00,MN,26.60653413185396
51.5000_-83.5000,51.32902908,-83.45852661,2026-09-23T18:17:00,ON,19.072623236959984
48.5000_-124.0000,48.48727798,-123.77249146,2026-09-23T18:35:45,BC,16.908332109594333
48.5000_-123.5000,48.49721146,-123.7265625,2026-09-23T18:35:45,BC,16.77965314625114
48.5000_-123.5000,48.50318527,-123.73972321,2026-09-23T18:35:45,BC,17.75360890031856
48.5000_-124.0000,48.49157715,-123.75797272,2026-09-23T18:35:45,BC,17.94767748092587
48.5000_-124.0000,48.49882889,-123.7537384,2026-09-23T18:35:45,BC,18.235595639733
48.5000_-123.5000,48.48564148,-123.74546051,2026-09-23T18:35:45,BC,18.248908451698654
